,id,18~19_ride_id_mean,18~19_ride_id_sum
0,1002,4.239316239316239,496
1,1003,7.5147540983606556,2292
2,1004,9.446629213483146,3363
3,1005,4.360594795539034,1173
4,1006,4.773504273504273,1117
5,1007,6.761609907120743,2184
6,1008,9.131840796019901,3671
7,1009,4.540322580645161,563
8,1010,4.185714285714286,1172
9,1011,2.27027027027027,84
10,1012,1.7916666666666667,43
11,1013,3.717948717948718,145
12,1014,3.1666666666666665,418
13,1015,2.879032258064516,357
14,1016,4.658536585365853,573
15,1017,18.44979079497908,8819
16,1018,21.251497005988025,10647
17,1019,3.1463414634146343,129
18,1020,2.197969543147208,433
19,1021,3.1267605633802815,666
20,1022,2.3421052631578947,89
21,1023,1.9583333333333333,47
22,1024,1.6923076923076923,44
23,1025,1.1333333333333333,17
24,1026,6.099125364431487,2092
25,1027,3.9527027027027026,1170
26,1028,1.2222222222222223,11
27,1029,1.1764705882352942,20
28,1030,3.6818181818181817,162
29,1031,4.222222222222222,570
30,1032,2.7241379310344827,316
31,1033,4.790419161676646,800
32,1034,1.6875,81
33,1035,1.5714285714285714,11
34,1036,1.4827586206896552,43
35,1037,1.3333333333333333,8
36,1038,1.1527777777777777,83
37,1039,2.1904761904761907,276
38,1040,2.746268656716418,368
39,1041,14.302752293577981,4677
40,1042,7.315436241610739,2180
41,1044,6.576315789473684,2499
42,1045,8.61737089201878,3671
43,1046,2.7911227154046996,1069
44,1047,14.81039755351682,4843
45,1048,1.25,10
46,1049,1.4313725490196079,73
47,1050,5.654891304347826,2081
48,1051,1.8088235294117647,123
49,1052,8.571428571428571,780
50,1053,3.4069767441860463,293
51,1054,4.699346405228758,719
52,1055,8.91891891891892,1320
53,1056,5.420529801324503,1637
54,1057,6.045871559633028,1977
55,1058,3.110169491525424,367
56,1059,2.8203125,361
57,1060,4.811111111111111,433
58,1061,6.98876404494382,622
59,1062,2.033333333333333,61
60,1063,16.604166666666668,797
61,1064,2.1714285714285713,76
62,1065,1.3783783783783783,51
63,1067,1.0,3
64,1068,1.5964912280701755,91
65,1069,1.7272727272727273,19
66,1070,1.2142857142857142,17
67,1071,1.7352941176470589,59
68,1072,1.0,1
69,1073,1.0,1
70,1074,1.5,6
71,1075,1.0526315789473684,20
72,1076,1.1176470588235294,19
73,1078,1.1666666666666667,7
74,1079,1.0869565217391304,25
75,1080,2.4545454545454546,243
76,1081,3.0,3
77,1082,1.5,33
78,1083,2.0251256281407035,403
79,1084,1.0,1
80,1086,2.0655737704918034,126
81,1087,1.6666666666666667,15
82,1088,2.077777777777778,187
83,1089,1.0,14
84,1090,2.8303886925795054,801
85,1093,2.9567567567567568,547
86,1094,1.2641509433962264,67
87,1095,1.5033112582781456,227
88,1096,4.102439024390244,841
89,1098,1.8736263736263736,341
90,1099,4.649193548387097,1153
91,1100,3.6081504702194356,1151
92,1101,1.2666666666666666,19
93,1102,1.0,1
94,1103,1.0,1
95,1104,1.52,38
96,1105,1.5,36
97,1107,1.3673469387755102,134
98,1108,4.917391304347826,1131
99,1109,1.8269230769230769,95
100,1110,1.0,9
101,1111,8.511727078891258,3992
102,1112,15.35135135135135,7952
103,1113,7.372427983539095,3583
104,1114,7.582309582309582,3086
105,1115,5.121875,1639
106,1116,8.68041237113402,2526
107,1117,5.269430051813472,2034
108,1118,9.534722222222221,2746
109,1119,7.870036101083032,2180
110,1122,14.536337209302326,10001
111,1123,14.98092967818832,12569
112,1125,1.2222222222222223,11
113,1126,7.867924528301887,2085
114,1127,10.681222707423581,4892
115,1128,4.792838874680307,1874
116,1129,10.025078369905955,3198
117,1130,18.035935563816604,14555
118,1131,3.9389830508474577,1162
119,1132,1.2962962962962963,35
120,1134,36.78291814946619,10336
121,1135,10.031446540880504,1595
122,1136,29.86904761904762,10036
123,1137,8.82905982905983,1033
124,1139,2.4786324786324787,870
125,1140,1.5,18
126,1141,7.973025048169557,4138
127,1142,14.900485436893204,6139
128,1144,3.3214285714285716,93
129,1145,1.7777777777777777,32
130,1146,5.5494296577946765,2919
131,1147,11.633911368015415,6038
132,1148,20.11280487804878,6597
133,1149,4.332053742802303,2257
134,1150,1.6208333333333333,389
135,1151,6.377110694183865,3399
136,1152,1.4285714285714286,50
137,1153,2.4956521739130433,287
138,1154,3.4279279279279278,761
139,1155,2.697211155378486,677
140,1156,6.924107142857143,1551
141,1157,2.2370689655172415,519
142,1158,2.5929203539823007,586
143,1159,1.0,2
144,1160,5.473684210526316,2080
145,1161,1.368421052631579,52
146,1162,7.13963963963964,1585
147,1163,8.512953367875648,3286
148,1164,1.664516129032258,258
149,1166,1.46875,47
150,1167,4.610951008645533,1600
151,1168,1.3272727272727274,73
152,1169,2.3076923076923075,60
153,1170,1.5454545454545454,17
154,1171,1.2307692307692308,16
155,1172,1.8181818181818181,20
156,1174,2.6486486486486487,98
157,1175,1.0588235294117647,18
158,1176,3.0,3
159,1177,13.313725490196079,2037
160,1178,8.025125628140703,1597
161,1179,1.0,1
162,1180,1.0,2
163,1181,5.5,297
164,1183,5.610294117647059,1526
165,1678,1.0,3
166,1679,1.1666666666666667,28
167,1680,2.5833333333333335,155
168,1681,1.5964912280701755,91
169,1682,2.9155844155844157,449
170,1683,1.7142857142857142,96
171,1684,7.273224043715847,1331
172,1685,5.1395348837209305,442
173,1686,1.0,2
174,1690,1.5555555555555556,42
175,1691,1.3333333333333333,16
176,1692,1.6521739130434783,38
177,1693,1.3076923076923077,17
178,2001,15.554945054945055,11324
179,2002,18.297966401414676,20695
180,2003,14.366920152091256,7557
181,2004,6.089763779527559,3867
182,2007,2.6315789473684212,350
183,2008,13.113839285714286,5875
184,2009,5.671532846715328,2331
185,2010,2.8640350877192984,653
186,2011,5.815789473684211,1989
187,2012,2.6904761904761907,339
188,2013,5.090225563909774,2031
189,2014,2.792079207920792,846
190,2015,2.5,120
191,2016,2.8085106382978724,132
192,2017,1.5,57
193,2018,1.990909090909091,219
194,2019,3.1578947368421053,360
195,2020,3.848,481
196,2021,1.4022988505747127,122
197,2022,4.233918128654971,724
198,2023,4.79088471849866,1787
199,2024,3.8030888030888033,985
200,2025,2.7943037974683542,883
201,2026,2.048611111111111,295
202,2027,2.171875,139
203,2028,3.7868852459016393,231
204,2029,2.1052631578947367,120
205,2030,1.0,15
206,2031,6.334090909090909,2787
207,2032,10.716589861751151,4651
208,2033,1.7653061224489797,173
209,2034,1.6095238095238096,169
210,2036,2.2,297
211,2037,2.7830188679245285,295
212,2038,1.588235294117647,27
213,2039,1.0,2
214,2040,1.0,7
215,2041,1.5,48
216,2042,3.468137254901961,1415
217,2043,1.2,12
218,2044,2.5961538461538463,135
219,2045,2.2695652173913046,522
220,2046,2.1714285714285713,152
221,2047,1.977142857142857,346
222,2049,1.5294117647058822,26
223,2050,7.525806451612903,2333
224,2051,4.743494423791821,1276
225,2052,3.484076433121019,547
226,2053,5.056910569105691,622
227,2054,6.018867924528302,957
228,2055,1.8214285714285714,204
229,2056,7.435897435897436,870
230,2057,3.322314049586777,402
231,2058,1.929889298892989,523
232,2059,4.844444444444444,1308
233,2060,2.017857142857143,113
234,2061,6.24793388429752,756
235,2062,3.088339222614841,874
236,2063,3.2071713147410357,805
237,2064,3.4806451612903224,1079
238,2065,3.7216494845360826,1444
239,2066,5.35064935064935,824
240,2067,15.23611111111111,2194
241,2068,3.4237288135593222,808
242,2069,3.9834437086092715,1203
243,2070,2.6942148760330578,326
244,2071,1.0,3
245,2072,2.792682926829268,229
246,2073,4.094736842105263,389
247,2074,2.8359375,363
248,2075,5.209876543209877,844
249,2076,2.770967741935484,859
