,route_id_weekday,18~19_ride_route_id_weekday_mean,18~19_ride_route_id_weekday_sum
179,1187_2041_1,1.0,4
180,1187_2041_2,1.3333333333333333,4
181,1187_2041_3,1.5,3
182,1187_2041_4,1.4285714285714286,10
183,1187_2041_5,2.142857142857143,15
184,1187_2041_6,1.6,8
185,1187_2045_0,1.25,5
186,1187_2045_2,2.0,2
187,1187_2045_3,1.0,1
188,1187_2045_4,1.5,3
189,1187_2049_0,1.75,7
190,1187_2049_1,1.25,5
191,1187_2049_2,1.25,5
192,1187_2049_3,2.0,6
193,1187_2049_4,1.5,3
194,1187_2050_0,2.0,14
195,1187_2050_1,1.7142857142857142,12
196,1187_2050_2,1.2857142857142858,9
197,1187_2050_3,2.0,12
198,1187_2050_4,1.5,9
199,1187_2050_6,1.0,1
200,1187_2055_0,1.5,6
201,1187_2055_1,1.25,5
202,1187_2055_2,1.0,3
203,1187_2055_3,1.5,6
204,1187_2055_4,1.1666666666666667,7
205,1187_2055_5,1.0,2
206,1187_2055_6,1.6666666666666667,5
207,1187_2156_0,1.5,3
208,1187_2156_1,1.25,5
209,1187_2156_2,1.0,3
210,1187_2156_3,1.0,2
211,1187_2156_4,2.0,4
212,1187_2156_5,1.5,3
213,1187_2179_1,1.3333333333333333,4
214,1187_2179_2,1.0,2
215,1187_2179_3,1.0,1
216,1187_2179_4,1.0,1
217,1187_2179_5,1.0,1
218,1187_2179_6,2.0,2
219,1187_2180_0,1.6,8
220,1187_2180_1,1.0,1
221,1187_2180_2,1.8,9
222,1187_2180_3,1.75,7
223,1187_2180_4,1.6,8
224,1187_2180_5,1.0,1
225,1187_2180_6,1.0,1
226,1187_2181_0,1.0,1
227,1187_2181_2,1.0,1
228,1187_2181_4,1.0,3
229,1187_2181_5,1.0,2
230,1187_2182_0,1.0,1
231,1187_2182_1,1.5,3
232,1187_2182_2,2.5,5
233,1187_2182_3,2.0,2
234,1187_2182_6,1.0,1
235,1187_2183_0,1.3333333333333333,4
236,1187_2183_1,1.8,9
237,1187_2183_2,1.75,7
238,1187_2183_3,1.6,8
239,1187_2183_4,1.0,4
240,1187_2183_5,2.0,4
241,1187_2183_6,2.0,2
242,1187_2184_3,1.0,1
243,1187_2184_4,1.0,1
244,1187_2184_5,1.0,1
245,1187_2185_0,1.2,6
246,1187_2185_1,1.5,6
247,1187_2185_2,1.6,8
248,1187_2185_3,1.25,5
249,1187_2185_4,1.2,6
250,1187_2185_5,1.0,3
251,1187_2185_6,1.25,5
252,1187_2187_0,1.0,2
253,1187_2187_1,1.4,7
254,1187_2187_2,1.0,3
255,1187_2187_3,1.0,1
256,1187_2187_4,1.6666666666666667,5
257,1187_2187_5,1.6666666666666667,5
258,1187_2187_6,1.5,3
259,1187_2190_4,1.0,1
260,1187_2190_6,1.0,1
261,1187_2193_3,1.0,1
262,1187_2193_4,1.0,1
263,1187_2194_1,1.0,1
264,1187_2194_3,1.0,1
265,1187_2194_4,2.0,4
266,1187_2194_6,1.0,1
267,1187_2195_0,3.5714285714285716,25
268,1187_2195_1,4.714285714285714,33
269,1187_2195_2,4.5,27
270,1187_2195_3,3.3333333333333335,20
271,1187_2195_4,3.857142857142857,27
272,1187_2195_5,1.25,5
273,1187_2195_6,1.0,1
274,1187_2196_1,1.0,1
275,1187_2199_0,2.25,9
276,1187_2199_1,1.0,4
277,1187_2199_2,1.25,5
278,1187_2199_3,1.25,5
279,1187_2199_4,1.0,5
280,1187_2200_2,1.0,1
281,1187_2201_3,1.0,1
282,1187_2201_4,1.0,1
283,1187_2202_1,1.0,1
284,1187_2202_4,1.0,1
285,1187_2202_5,1.0,2
286,1187_2203_0,1.75,7
287,1187_2203_1,1.4,7
288,1187_2203_2,1.6,8
289,1187_2203_3,1.8571428571428572,13
290,1187_2203_4,1.75,7
291,1187_2203_5,1.6666666666666667,5
292,1187_2203_6,1.5,3
293,1187_2204_6,3.0,3
294,1187_2208_0,1.6666666666666667,5
295,1187_2208_1,1.2,6
296,1187_2208_2,1.3333333333333333,4
297,1187_2208_3,1.6666666666666667,5
298,1187_2208_4,1.0,2
299,1187_2208_6,1.0,1
300,1187_2274_0,1.0,4
301,1187_2274_1,1.6666666666666667,10
302,1187_2274_2,2.25,9
303,1187_2274_3,1.75,7
304,1187_2274_4,2.0,8
305,1187_2274_5,1.6,8
306,1187_2274_6,2.0,2
307,1187_2276_0,3.5714285714285716,25
308,1187_2276_1,2.857142857142857,20
309,1187_2276_2,5.833333333333333,35
310,1187_2276_3,3.7142857142857144,26
311,1187_2276_4,5.0,35
312,1187_2276_5,6.142857142857143,43
313,1187_2276_6,3.6666666666666665,22
314,1187_2283_0,1.8333333333333333,11
315,1187_2283_1,2.0,12
316,1187_2283_2,1.8,9
317,1187_2283_3,2.0,14
318,1187_2283_4,2.5,15
319,1187_2283_5,1.2,6
320,1187_2283_6,1.0,3
321,1187_2284_0,2.2,11
322,1187_2284_1,1.6666666666666667,10
323,1187_2284_2,1.0,3
324,1187_2284_3,1.4,7
325,1187_2284_4,1.8333333333333333,11
326,1187_2284_5,2.75,11
327,1187_2284_6,1.0,3
328,1187_2348_0,1.1428571428571428,8
329,1187_2348_1,1.1666666666666667,7
330,1187_2348_2,1.8571428571428572,13
331,1187_2348_3,1.0,5
332,1187_2348_4,1.25,5
333,1187_2348_5,1.0,1
334,1187_2350_0,6.285714285714286,44
335,1187_2350_1,7.142857142857143,50
336,1187_2350_2,7.0,42
337,1187_2350_3,5.833333333333333,35
338,1187_2350_4,7.285714285714286,51
339,1187_2350_5,1.0,1
340,1187_2350_6,1.0,1
341,1187_4194_3,1.0,1
342,1187_4195_1,1.5,3
343,1187_4195_2,1.0,1
344,1187_4195_3,1.0,1
345,1187_4195_4,2.5,5
346,1187_4195_5,2.0,2
347,1187_4195_6,5.0,5
348,1187_4263_0,1.5,3
349,1187_4263_1,2.0,4
350,1187_4263_2,1.0,1
351,1187_4263_4,1.0,1
352,1187_4263_5,3.3333333333333335,10
353,1187_4263_6,1.5,3
354,1187_4264_5,3.0,3
355,1187_4267_2,2.5,5
356,1187_4267_4,1.0,2
357,1187_4267_5,3.0,6
358,1187_4298_0,1.0,1
359,1187_4298_1,1.0,1
360,1187_4298_2,1.0,1
