idx,target,m,s
6031,진월177_3242,1.481865285,572
6032,진월177_3243,1.516363636,417
6033,진월177_3216,1.218543046,184
6034,진월177_6604,1.368932039,141
6035,진월75_5203,1.761578045,1027
6036,진월75_5217,1.650319829,774
6037,진월75_3228,2.144039735,1295
6038,진월75_5159,4.840641711,4526
6039,진월75_3219,1.384615385,486
6040,진월75_3220,2.481283422,464
6041,진월75_3292,1.215277778,175
6042,진월75_3293,1.504,564
6043,진월75_2359,1.339366516,296
6044,진월75_2360,1.404320988,455
6045,진월75_3209,2.990196078,2440
6046,진월75_3210,2.6875,1978
6047,진월75_3285,1.674486804,571
6048,진월75_3286,2.577777778,2088
6049,진월75_3235,3.340218712,2749
6050,진월75_3236,3.63963964,3232
6051,진월75_5008,2.237885463,1524
6052,진월75_5006,1.231481481,133
6053,진월75_2119,1.298561151,361
6054,진월75_3240,2.140243902,1053
6055,진월75_3241,3.141384389,2133
6056,진월75_2023,1.990580848,1268
6057,진월75_2024,1.774319066,912
6058,진월75_2025,1.445701357,639
6059,진월75_2026,1.39261745,415
6060,진월75_2245,2.178515008,1379
6061,진월75_2246,2.12541806,1271
6062,진월75_2319,1.861157025,1126
6063,진월75_2320,1.743534483,809
6064,진월75_2317,1.726190476,1015
6065,진월75_2318,2.05312085,1546
6066,진월75_2324,1.537960954,709
6067,진월75_2325,1.685245902,514
6068,진월75_2031,2.416775885,1844
6069,진월75_3225,2.475232198,1599
6070,진월75_3226,1.941818182,1068
6071,진월75_2019,3.411123228,3128
6072,진월75_2020,1.498817967,634
6073,진월75_2125,1.106060606,146
6074,진월75_2126,1.276422764,157
6075,진월75_2129,1.255813953,162
6076,진월75_3155,1.216216216,180
6077,진월75_3157,1.240174672,284
6078,진월75_3161,1.872340426,88
6079,진월75_5149,2.1488,1343
6080,진월75_5254,1.141025641,89
6081,진월75_5208,1.411894273,641
6082,진월75_5209,1.145454545,63
6083,진월75_3276,1.644549763,347
6084,진월75_3278,1.954186414,1237
6085,진월75_3274,2.053819444,1183
6086,진월75_3275,5.415862808,5053
6087,진월75_3283,1.414746544,307
6088,진월75_3284,1.557647059,662
6089,진월75_5164,1.453012048,603
6090,진월75_2247,1.524663677,680
6091,진월75_2248,1.732181425,802
6092,진월75_3290,1.251748252,179
6093,진월75_5166,2.388451444,1820
6094,진월75_5260,1.169014085,83
6095,진월75_2251,1.270718232,230
6096,진월75_2252,1.326996198,349
6097,진월75_3167,2.763485477,666
6098,진월75_5216,1.057471264,92
6099,진월75_3266,1.392638037,227
