idx,target,m,s
0,1,3.732411466,2105890
1,2,3.792682584,2155647
2,3,3.828688938,2230464
3,4,3.829432451,2199626
4,5,3.054231688,1541880
5,6,2.609503888,925638
6,0,3.79322485,1946903
