idx,target,m,s
210,3007_1,3.445273632,2770
211,4217_1,2.548494983,762
212,4019_1,1.185185185,32
213,4226_1,1.085714286,38
214,4220_1,2.139784946,597
215,4164_1,6.10941704,6812
216,4165_1,4.338491296,4486
217,4416_1,3.585526316,3270
218,4417_1,5.984862819,6326
219,2064_1,2.788218794,1988
220,2065_1,3.503597122,3409
221,4174_1,3.793193717,2898
222,4175_1,4.804815133,5588
223,4239_1,3.008010681,2253
224,4653_1,1.103448276,32
225,4284_1,1.714285714,60
226,4553_1,4.153628652,4407
227,4554_1,4.388980263,5337
228,4493_1,2.024691358,820
229,4521_1,2.473417722,977
230,2217_1,4.417281349,4192
231,2223_1,3.268085106,768
232,2068_1,2.343925234,1254
233,2069_1,3.189701897,2354
234,4274_1,1.526315789,87
235,4049_1,1.441176471,49
236,4051_1,1.25,10
237,2232_1,3.664512338,6237
238,4301_1,2.269230769,177
239,4081_1,2.44,183
240,4596_1,2.040816327,100
241,4082_1,1.333333333,4
242,4083_1,1.5,18
243,4303_1,1.362204724,173
244,2236_1,3.707006369,1746
245,4500_1,1.173913043,27
246,4501_1,1.151515152,38
247,4346_1,3.933194154,3768
248,4347_1,3.084355828,2011
249,4507_1,1.209302326,52
250,1129_1,4.753846154,3090
251,4316_1,1.703125,109
252,4556_1,2.411140584,1818
253,4557_1,2.531059683,2078
254,2237_1,3.271615721,3746
255,2241_1,1.820895522,1098
256,2008_1,4.896289248,5146
257,2051_1,3.012012012,2006
258,4173_1,4.202898551,2320
259,1011_1,2.64893617,249
260,3265_1,1.475409836,90
261,4216_1,3.578212291,1281
262,3172_1,5.634920635,710
263,3173_1,2.924731183,272
264,3206_1,3.054393305,2190
265,3280_1,3.308387097,2564
266,4159_1,3.040084388,1441
267,4160_1,4.837579618,3038
268,4161_1,2.368146214,907
269,4162_1,2.600550964,944
270,1013_1,2.237113402,217
271,1019_1,2.871559633,313
272,3120_1,2.315789474,704
273,3121_1,3.453296703,1257
274,4178_1,3.269051322,2102
275,3091_1,3.826556017,4611
276,3093_1,2.740863787,3300
277,3122_1,2.387096774,1258
278,3214_1,3.212658228,2538
279,4550_1,1.451086957,267
280,3238_1,3.131782946,808
281,3139_1,1.289473684,49
282,1022_1,1.52,114
283,1023_1,1.333333333,72
284,1017_1,8.08028169,11474
285,1018_1,9.330326162,13445
286,3096_1,1.837837838,68
287,3097_1,2.455696203,194
288,3098_1,2.306930693,233
289,3099_1,3.12987013,241
290,3263_1,1.151515152,76
291,3278_1,2.408123791,1245
292,3259_1,5.649164678,2367
293,3100_1,2.17721519,172
294,3101_1,2.215686275,113
295,3281_1,1.581395349,68
296,3282_1,2.458923513,868
297,4181_1,1.087719298,62
298,4182_1,3.0562249,1522
299,1145_1,1.333333333,32
300,3174_1,1.40625,45
301,4348_1,5.05374078,4796
302,4349_1,4.119286511,3695
303,3267_1,2.002227171,899
304,3217_1,3.555555556,2592
305,3218_1,3.208984375,1643
306,1170_1,1.172413793,34
307,4549_1,1.761316872,428
308,3253_1,1.681222707,385
309,3260_1,1.5,168
310,3261_1,2.243902439,736
311,4166_1,3.763106796,1938
312,4167_1,4.176470588,2485
313,1135_1,4.040372671,1301
314,1136_1,9.403100775,8491
315,3175_1,1.860465116,160
316,3176_1,1.857142857,104
317,4551_1,3.885057471,2028
318,4552_1,5.037234043,2841
319,4077_1,1.716883117,661
320,4078_1,2.869986169,2075
321,4001_1,3.872727273,2769
322,4002_1,2.164502165,500
323,4006_1,1.275590551,162
324,4061_1,2.813953488,1573
325,4062_1,2.438752784,1095
326,4253_1,2.008849558,908
327,4030_1,4.873650108,4513
328,4031_1,2.337984496,1508
329,4463_1,1.283018868,68
330,4466_1,8.789617486,3217
331,4046_1,1.319148936,62
332,1049_1,1.406976744,121
333,4387_1,1.524475524,218
334,4388_1,1.508,377
335,4057_1,2.188191882,593
336,4058_1,4.667682927,3062
337,4573_1,4.008,2505
338,4574_1,3.206971678,1472
339,4067_1,3.041666667,365
340,4068_1,6.165413534,2460
341,4079_1,4.046536797,3739
342,4080_1,1.901098901,1038
343,4034_1,1.895348837,326
344,4465_1,1.271428571,89
345,4353_1,1.924528302,612
346,4413_1,2.582386364,909
347,4089_1,1.438356164,105
348,4090_1,1.157894737,22
349,4399_1,4.983412322,2103
350,4094_1,2.945054945,536
351,4095_1,2.024390244,83
352,4402_1,6.307073955,3923
353,4352_1,3.932405567,1978
354,4412_1,5.004878049,2052
355,1179_1,1.4,7
356,4109_1,3.469387755,1020
357,4111_1,1.155555556,52
358,4112_1,1.63362069,379
359,4118_1,2.506666667,564
360,4488_1,5.564315353,4023
361,4114_1,1.503496503,215
362,4434_1,4.01465798,7395
363,4436_1,3.679841897,1862
364,4333_1,2.842857143,1592
365,4518_1,1.55952381,131
366,4519_1,1.328767123,97
367,1115_1,2.712784588,1549
368,1116_1,4.056145675,2673
369,1117_1,2.868035191,1956
370,1118_1,3.788888889,2728
371,4155_1,2.141955836,679
372,4156_1,1,10
373,4441_1,3.659139026,5185
374,4442_1,1.75708502,434
375,4427_1,6.457223001,4604
376,4428_1,6.083569405,4295
377,4539_1,2.990506329,1890
378,4432_1,3.261941448,4234
379,4455_1,5.503351206,8211
380,4431_1,2.820422535,2403
381,4448_1,2.894222222,3256
382,4433_1,4.085168869,2782
383,4460_1,3.698083067,2315
384,4527_1,3.396755162,2303
385,4534_1,3.524684271,3070
386,4451_1,4.54174397,2448
387,2092_1,2.111111111,589
388,1109_1,1.5,72
389,3137_1,1.480769231,77
390,1141_1,4.281982585,6393
391,1142_1,8.844933921,10039
392,3293_1,1.5078125,193
393,2054_1,2.88172043,1072
394,2100_1,3.67539267,2106
395,3256_1,1,2
396,2163_1,2.349384099,2098
