idx,r,i,w,r_con,i_con,w_con,time
11299,금남55,1042,2,0.193233471,0.108061503,0.849720324,18_20
11300,?�정29,4252,2,0.585278926,0.073717488,0.849720324,18_20
11301,첨단20,5441,2,0.40762741,0.051252575,0.849720324,18_20
11302,?�완12,5730,4,0.433729339,0.030943143,1,18_20
11303,?�완12,3145,1,0.433729339,0.053216458,0.879701029,18_20
11304,?�정98,3206,2,0.591649449,0.082291517,0.849720324,18_20
11305,금남58,1116,4,0.153013085,0.103079944,1,18_20
11306,419,4382,5,0.076876722,0.043684437,0.368942386,18_20
11307,첨단95,1113,6,0.382076446,0.169085597,0,18_20
11308,518,2051,6,0.123433196,0.065143459,0,18_20
11309,?�곡38,4475,6,0.359245868,0.476840542,0,18_20
11310,?�암73,5150,3,0.286243113,0.013172391,0.93505806,18_20
11311,마을788,5459,4,0.145006887,0.03980457,1,18_20
11312,첨단95,4103,2,0.382076446,0.001820185,0.849720324,18_20
11313,?�환01(?�청??,2217,2,0.296814738,0.165493126,0.849720324,18_20
11314,?�림54,4374,1,0.681146694,0.047660104,0.879701029,18_20
11315,첨단23,4238,4,0.289135675,0.107343009,1,18_20
11316,마을700,5161,4,0.405699036,0.003065575,1,18_20
11317,첨단30,5410,5,0.461105372,0.035876802,0.368942386,18_20
11318,?�암74,4570,1,0.254855372,0.069119126,0.879701029,18_20
11319,?�암74,2313,1,0.254855372,0.001005892,0.879701029,18_20
11320,?�정33,5273,1,0.267561983,0.41447526,0.879701029,18_20
11321,지??5,1045,5,0.520867769,0.16985199,0.368942386,18_20
11322,첨단20,5551,1,0.40762741,0.003209273,0.879701029,18_20
11323,?�곡90,5378,3,0.019972452,0.000622695,0.93505806,18_20
11324,지??5,2007,6,0.25952135,0.016237965,0,18_20
11325,?�림50,3091,1,0.23350551,0.118791014,0.879701029,18_20
11326,마을760,2064,1,0.176687328,0.052785362,0.879701029,18_20
11327,첨단09,5111,3,0.765495868,0.162858648,0.93505806,18_20
11328,첨단92,5501,0,0.021332645,0.002011783,0.725597141,18_20
11329,진월17,3243,0,0.52928719,0.313407099,0.725597141,18_20
11330,좌석02,4333,4,0.383591598,0.101930354,1,18_20
11331,?�정296,5236,2,0.009676309,0.088710064,0.849720324,18_20
11332,지??5,2014,0,0.520867769,0.041193658,0.725597141,18_20
11333,마을700,5427,0,0.405699036,0.023135508,0.725597141,18_20
11334,?�무62(?�무??��),5219,3,0.02369146,0.021363223,0.93505806,18_20
11335,진월77,2009,2,0.05886708,0.107582507,0.849720324,18_20
11336,매월06,2032,6,0.460141185,0.215835609,0,18_20
11337,문흥18,5889,4,0.811828512,0.011064808,1,18_20
11338,?�정19,4511,0,0.297141873,0.02653638,0.725597141,18_20
11339,?�곡28,3241,4,0.648674242,0.171241079,1,18_20
11340,마을788,4080,0,0.145006887,0.031805336,0.725597141,18_20
11341,?�완49,1046,3,0.140461433,0.050342482,0.93505806,18_20
11342,?�곡38,2174,4,0.359245868,0.020357331,1,18_20
11343,금남55,4416,2,0.193233471,0.15064425,0.849720324,18_20
11344,진곡196,5471,0,0.177530992,0.005747952,0.725597141,18_20
11345,?�림35,1149,1,0.179493802,0.104229535,0.879701029,18_20
11346,?��?0,3235,2,0.045850551,0.181539493,0.849720324,18_20
11347,마을720,5312,1,0.412913223,0.032907027,0.879701029,18_20
11348,228(?�순?��?병원),6385,1,0.153805096,0.019830435,0.879701029,18_20
11349,?�완12,1157,6,0.433729339,0.022081717,0,18_20
11350,봉선27,4040,3,0.682834022,0.000574795,0.93505806,18_20
11351,?�암72,4459,1,0.349431818,0.080471332,0.879701029,18_20
11352,마을788,4574,2,0.145006887,0.036834794,0.849720324,18_20
11353,문흥39,4235,4,0.345730028,0.042965943,1,18_20
11354,마을788,4556,1,0.145006887,0.05786272,0.879701029,18_20
11355,?�곡90,5052,5,0.019972452,0.002490779,0.368942386,18_20
11356,진월07,4198,4,1,0.210566652,1,18_20
11357,?�완49,5186,3,0.140461433,0.107630407,0.93505806,18_20
11358,첨단30,2164,6,0.461105372,0.023758203,0,18_20
11359,?�곡10,5711,4,0.32899449,0.183982373,1,18_20
11360,금남58,4333,3,0.153013085,0.101930354,0.93505806,18_20
11361,마을760,2261,6,0.176687328,0.110600182,0,18_20
11362,마을777,4662,2,0.175206612,0.012166499,0.849720324,18_20
11363,금남55,3259,2,0.193233471,0.059874503,0.849720324,18_20
11364,?��?0,3166,3,0.045850551,0.036738995,0.93505806,18_20
11365,첨단22,2214,5,0.208006198,0.202806917,0.368942386,18_20
11366,419,1008,3,0.076876722,0.171863774,0.93505806,18_20
11367,봉선27,1148,1,0.682834022,0.308569239,0.879701029,18_20
11368,?�완12,2283,4,0.433729339,0.053360157,1,18_20
11369,지??6,1682,4,0.083694904,0.018680845,1,18_20
11370,?�운101,5566,4,0.124362948,0.020165733,1,18_20
11371,금호46,5768,6,0.430182507,0.082531015,0,18_20
11372,금호46,5289,5,0.430182507,0.013555587,0.368942386,18_20
11373,228(?�순?��?병원),1099,6,0.153805096,0.049192892,0,18_20
11374,518,4239,6,0.123433196,0.054030752,0,18_20
11375,문흥39,4425,2,0.345730028,0.165205729,0.849720324,18_20
11376,?�암68,3190,1,0.306129477,0.037888586,0.879701029,18_20
11377,진월79,3216,5,0.074449036,0.020261532,0.368942386,18_20
11378,지??6,2285,2,0.083694904,0.038942377,0.849720324,18_20
11379,봉선27,1141,5,0.682834022,0.197681659,0.368942386,18_20
11380,지??6,2053,2,0.083694904,0.029122958,0.849720324,18_20
11381,?�암68,3199,2,0.306129477,0.013316089,0.849720324,18_20
11382,?�림35,1059,6,0.179493802,0.017866552,0,18_20
11383,문흥18,5321,4,0.811828512,0.032811228,1,18_20
11384,?�암31,2186,5,0.113309229,0.043684437,0.368942386,18_20
11385,?�림50,3089,6,0.23350551,0.017195957,0,18_20
11386,?�정33,5978,3,0.267561983,0.001580687,0.93505806,18_20
11387,지??52(?�주??,1152,2,0.046298209,0.001868084,0.849720324,18_20
11388,?�암68,5523,5,0.306129477,0.02289601,0.368942386,18_20
11389,마을701,5314,1,0.010726584,0.1566796,0.879701029,18_20
11390,?�림35,1060,0,0.179493802,0.019399339,0.725597141,18_20
11391,지??5,4425,3,0.223880854,0.165205729,0.93505806,18_20
11392,?�정19,4513,3,0.297141873,0.087656272,0.93505806,18_20
11393,?�암81(각화초교),4534,6,0.044283747,0.120323801,0,18_20
11394,좌석02,5165,0,0.383591598,0.010202615,0.725597141,18_20
11395,?�곡28,4410,6,0.648674242,0.094410116,0,18_20
11396,419,4546,4,0.076876722,0.001580687,1,18_20
11397,?�정29,5271,5,0.585278926,0.221439862,0.368942386,18_20
11398,?�곡10,5187,1,0.32899449,0.051252575,0.879701029,18_20
11399,매월61(?�하),2023,3,0.071384298,0.084830196,0.93505806,18_20
11400,금호36,4192,4,0.497847796,0.00967572,1,18_20
11401,금호36,2302,1,0.497847796,0.037649088,0.879701029,18_20
11402,?�암73,2080,4,0.286243113,0.056713129,1,18_20
11403,첨단94,5322,1,0.022951102,0.107774105,0.879701029,18_20
11404,문흥18,4434,2,0.811828512,0.161852757,0.849720324,18_20
11405,좌석02,2241,5,0.383591598,0.044450831,0.368942386,18_20
11406,봉선37,1044,0,0.724776171,0.120754898,0.725597141,18_20
11407,문흥53,4230,3,0.091408402,0.051492073,0.93505806,18_20
11408,첨단20,2133,2,0.40762741,0.01326819,0.849720324,18_20
11409,?�곡38,4420,4,0.359245868,0.000287398,1,18_20
11410,금남57,4020,3,0.330182507,0.002778177,0.93505806,18_20
11411,?�곡38,5203,1,0.359245868,0.02653638,0.879701029,18_20
11412,문흥80,4417,2,0.085158402,0.272596637,0.849720324,18_20
11413,첨단20,2085,2,0.40762741,0.055850936,0.849720324,18_20
11414,마을720,5149,3,0.412913223,0.104277434,0.93505806,18_20
11415,마을788,4576,5,0.145006887,0.011016909,0.368942386,18_20
11416,?�전85,4436,5,0.064566116,0.055132442,0.368942386,18_20
11417,?�림50,3106,1,0.23350551,0.031182641,0.879701029,18_20
11418,금호46,2174,4,0.430182507,0.020357331,1,18_20
11419,?�곡38,2175,6,0.359245868,0.015088375,0,18_20
11420,봉선37,5318,1,0.724776171,0.040570963,0.879701029,18_20
11421,진월79,3289,3,0.074449036,0.007376539,0.93505806,18_20
11422,?��?70,1115,0,0.027152204,0.081477224,0.725597141,18_20
11423,?�운14,5868,4,0.168629477,0.034248216,1,18_20
11424,매월26,4255,5,0.531215565,0.066772046,0.368942386,18_20
11425,매월61(칠석),4514,1,0.082386364,0.011304306,0.879701029,18_20
11426,진월17,4191,3,0.52928719,0.01686066,0.93505806,18_20
11427,금남55,4216,2,0.193233471,0.0241414,0.849720324,18_20
11428,지??5,1136,4,0.520867769,0.526799828,1,18_20
11429,좌석02,6451,0,0.383591598,0.116156536,0.725597141,18_20
11430,마을700,5318,5,0.405699036,0.040570963,0.368942386,18_20
11431,?�림51,1112,5,0.457489669,0.376778273,0.368942386,18_20
11432,봉선27,1020,0,0.682834022,0.019878335,0.725597141,18_20
11433,?�운101,5699,2,0.124362948,0.005508454,0.849720324,18_20
11434,?�곡89,5326,5,0.019972452,0.000383197,0.368942386,18_20
11435,?�정96,5125,5,0.00428719,0.000287398,0.368942386,18_20
11436,?�완03,2004,0,0.8627927,0.178665517,0.725597141,18_20
11437,금남59,2297,1,0.232386364,0.069406524,0.879701029,18_20
11438,첨단23,4119,0,0.289135675,0.008813527,0.725597141,18_20
11439,?�완49,1157,2,0.140461433,0.022081717,0.849720324,18_20
11440,228(?�순?��?병원),2004,3,0.153805096,0.178665517,0.93505806,18_20
11441,문흥18,4142,4,0.811828512,0.030033051,1,18_20
11442,매월16,4459,2,0.325086088,0.080471332,0.849720324,18_20
11443,?�정29,5187,3,0.585278926,0.051252575,0.93505806,18_20
11444,첨단22,4630,4,0.208006198,0.00364037,1,18_20
11445,?�암68,2283,4,0.306129477,0.053360157,1,18_20
11446,?�운14,5869,2,0.168629477,0.00119749,0.849720324,18_20
11447,금남59,2304,0,0.232386364,0.017579154,0.725597141,18_20
11448,?�무63,4427,0,0.042923554,0.099247976,0.725597141,18_20
11449,?�정33,5282,3,0.267561983,0.03740959,0.93505806,18_20
11450,마을777(?�치공원),4438,2,0.037000689,0.018585046,0.849720324,18_20
