idx,name,i,r,dong_name,dist
2881,화정무등파크,2280,송암72,화정1동, 서구 
2882,문화초교,4178,진월17,두암2동, 북구 
2883,전남공무원교육원,4210,운림54,매곡동, 북구 
2884,광주역,4334,1187,신안동, 북구 
2885,금호한국아파트,2011,매월61(칠석),금호1동, 서구 
2886,녹동,1083,지원56,월남동,월남동
2887,정광고입구,5261,마을720,소촌동,소촌동
2888,서방사거리육교,1009,용봉83,계림1동, 동구 
2889,영천,5671,송정93,옥동,옥동
2890,문화중,4418,운림35,우산동, 북구 
2891,문화중,4418,운림35,우산동, 광산구 
2892,동림I.C입구,4142,상무62(상무역행),동림동, 북구 
2893,일곡청솔4차아파트,4479,일곡28,삼각동, 북구 
2894,북구청,4553,일곡38,중흥3동, 북구 
2895,5.18기념문화센터,2062,상무62(상무역행),상무1동, 서구 
2896,영천마을9단지,5319,첨단20,월곡2동, 광산구 
2897,유동사거리,4534,첨단30,유동,유동
2898,만호마을,2320,송암73,금호1동, 서구 
2899,보건대입구,5172,매월16,신창동, 광산구 
2900,화정중흥파크,2283,봉선37,화정1동, 서구 
2901,살레시오고입구,4661,마을777,일곡동, 북구 
2902,동산마을입구,1154,운림50,운림동,운림동
2903,임암,3168,마을715(대촌),임암동,남구
2904,금남로5가역,1114,1187,금남로5가,금남로5가
2905,월곡시장,5316,송정98,월곡1동, 광산구 
2906,상무대우아파트,2217,순환01(시청행),치평동, 서구 
2907,염주맨션,2303,진월77,화정3동, 서구 
2908,금호시영아파트,2010,매월61(칠석),금호1동, 서구 
2909,주월초교,2293,운림50,화정2동, 서구 
2910,용봉현대1차,4659,마을777,용봉동, 북구 
2911,국제고,4253,마을777(우치공원),삼각동, 북구 
2912,상무쌍용금호아파트,2223,518,치평동, 서구 
2913,송화마을5단지,3275,진월75,노대동,노대동
2914,송림주택,3088,운림50,방림2동, 남구 
2915,광주역,4334,금남58,신안동, 북구 
2916,남광주농협,3207,지원25,주월1동, 남구 
2917,대인시장(서),1115,금남58,대인동,대인동
2918,목련마을8단지,5298,문흥39,운남동, 광산구 
2919,삼원맨션,4384,419,용봉동, 북구 
2920,두암타운후문,1030,운림35,산수2동, 동구 
2921,북구보건소,4544,두암81(무등파크),중흥2동, 북구 
2922,송암공단입구,3155,송암68,송하동,송하동
2923,광주종합버스터미널,2002,첨단09,광천동, 서구 
2924,운리마을,2249,송암47,풍암동, 서구 
2925,구암,3232,수완03,행암동,행암동
2926,살레시오여고,1018,진월17,동명동, 동구 
2927,보훈병원후문,5438,첨단40,산월동,산월동
2928,화정남초교,2316,송암74,화정4동, 서구 
2929,서방시장(남),4421,용봉83,우산동, 북구 
2930,서방시장(남),4421,용봉83,우산동, 광산구 
2931,상무중,2079,금호46,상무2동, 서구 
2932,송원대,3162,송암74,송하동,송하동
2933,계림사거리,1002,문흥39,계림1동, 동구 
2934,신세계백화점,2274,1187,농성1동, 서구 
2935,월곡시장,5315,마을701,월곡2동, 광산구 
2936,백운초교(남),3251,지원45,백운2동, 남구 
2937,동천우미린아파트,4155,수완49,동천동, 서구 
2938,대성여고,3235,수완03,진월동, 남구 
2939,송정한전,5256,임곡90,운수동,운수동
2940,광주남초교,1093,지원15,지원1동, 동구 
2941,신창초교,5195,송암72,수완동, 광산구 
2942,동부소방서,1117,두암81(각화초교),대인동,대인동
2943,조선대공과대학,1183,송정98,서석동,서석동
2944,남광주역,1142,수완03,학동, 동구 
2945,전남공고,5197,운림51,신창동, 광산구 
2946,수완현진에버빌1차,5702,송정33,수완동, 광산구 
2947,송정초교,5011,마을701,도산동, 광산구 
2948,무등도서관,4175,지원15,두암2동, 북구 
2949,양동시장역(북),2167,송암72,양동, 서구 
2950,남선산업,3149,송암73,송하동,송하동
2951,상무역(남),2435,첨단22,마륵동,마륵동
2952,양지마을,4610,일곡10,일곡동, 북구 
2953,동천마을6단지,4429,봉선37,운암1동, 북구 
2954,전남대동문,4408,일곡28,용봉동, 북구 
2955,신안교,4339,순환01(시청행),신안동, 북구 
2956,화암,4331,1187,화암동,북구
2957,광산구노인복지회관,5290,상무62(상무역행),월곡1동, 광산구 
2958,전대치과병원,4352,매월26,신안동, 북구 
2959,신세계백화점,2276,1187,화정1동, 서구 
2960,동천마을3단지,4149,봉선37,동천동, 서구 
2961,동원촌,5397,첨단92,비아동, 광산구 
2962,공구단지,2092,매월61(세하),매월동,매월동
2963,청명아파트,4166,운림35,두암1동, 북구 
2964,건강협회,2053,지원56,농성2동, 서구 
2965,서영대,4428,금남58,운암1동, 북구 
2966,전남대,4346,두암81(각화초교),신안동, 북구 
2967,엔씨백화점,4539,두암81(무등파크),중흥1동, 북구 
2968,희망가아파트,2450,첨단22,마륵동,마륵동
2969,서방시장(남),4421,송암47,우산동, 북구 
2970,서방시장(남),4421,송암47,우산동, 광산구 
2971,전망대,4195,1187,두암3동, 북구 
2972,과기원,4009,송정33,첨단1동, 광산구 
2973,동천동행정복지센터,4144,문흥39,동천동, 서구 
