idx,i,dis_5159,dis_5745,dis_5445,dis_4475,dis_4406,dis_2002,dis_2232,dis_1130,dis_3236,time
43,1057,12.72914562,10.67036487,10.67338996,6.465637613,3.079380897,4.755518585,6.991577157,1.242173606,4.681232031,18_20
44,1058,13.25689842,11.17186512,11.0969294,6.749156186,3.418042208,5.282948273,7.52519792,1.720354966,5.010184344,18_20
45,1059,13.26621696,11.17827779,11.10082714,6.749800424,3.42022794,5.29069197,7.533508397,1.730255884,5.019624425,18_20
46,1060,13.21318606,11.25346676,11.24406784,6.95558235,3.602208928,5.321500882,7.538155584,1.63529439,4.817085311,18_20
47,1061,13.21576826,11.24878817,11.23561268,6.943675827,3.591466039,5.3191387,7.537363309,1.639457319,4.828218918,18_20
48,1062,13.25766287,11.29643537,11.28111695,6.981934365,3.63308509,5.366210801,7.583362349,1.678655741,4.846062586,18_20
49,1063,13.24747107,11.30143408,11.29457138,7.003684779,3.651885385,5.366276893,7.580109253,1.665813273,4.819935024,18_20
50,1064,13.51687291,11.58304742,11.55141219,7.206763055,3.8803661,5.651667653,7.863974022,1.929264984,4.973951399,18_20
51,1068,13.1239035,11.25488254,11.29905932,7.06694057,3.695603551,5.294252976,7.490078488,1.5355172,4.644217573,18_20
52,1071,13.94242945,11.92886338,11.8125007,7.352533346,4.090600579,6.034542242,8.264365488,2.357190439,5.358078245,18_20
53,1076,14.51647691,15.19419474,16.22312232,12.81997396,9.419771617,9.376491319,10.74751842,6.206598155,4.774809798,18_20
54,1079,14.62945071,15.36959887,16.41694952,13.02677427,9.627022754,9.566104614,10.91819014,6.412793876,4.931150656,18_20
55,1083,13.75064469,13.99427152,14.89905556,11.41973597,8.01822783,8.088500017,9.590499043,4.80960991,3.792083772,18_20
56,1088,13.98056924,14.34452144,15.28148681,11.81725062,8.415359795,8.460457221,9.927349785,5.207081456,4.065643338,18_20
57,1090,14.00880146,14.3620747,15.29265742,11.81892049,8.416115262,8.474100914,9.946660881,5.210196286,4.090593081,18_20
58,1093,12.76591191,12.11503948,12.73781118,9.0744224,5.6680249,6.075146094,7.873361079,2.488380643,3.072424735,18_20
59,1094,12.7111594,12.0315106,12.64790836,8.985551011,5.579781206,5.989514583,7.796074077,2.397785953,3.050421954,18_20
60,1095,12.85960469,12.32453833,12.98608409,9.348676826,5.943037952,6.296810793,8.055323497,2.75678202,3.069812933,18_20
61,1096,12.91069339,12.40042059,13.06725461,9.428748546,6.022560961,6.374841518,8.126366314,2.838296176,3.098849135,18_20
62,1098,13.0100651,12.61762813,13.32376855,9.712545905,6.30725566,6.606813062,8.317957449,3.116732735,3.124282073,18_20
63,1099,13.02098771,12.61818731,13.31901631,9.701170552,6.295344982,6.60547032,8.321169872,3.10726745,3.139195596,18_20
64,1100,13.34078676,12.27590748,12.66295088,8.704911265,5.296649009,6.210887166,8.178316449,2.357010603,3.884575451,18_20
65,1104,16.28282565,16.55196287,17.3039566,13.4781273,10.07272459,10.58152452,12.17645381,7.025898533,6.381595967,18_20
66,1105,16.00258776,16.40616716,17.23192049,13.50176164,10.0903294,10.46947188,12.00667266,6.993737338,6.148479264,18_20
67,1107,12.62990661,11.8794216,12.47477257,8.80317157,5.397695369,5.831722242,7.661348909,2.216388672,3.046034517,18_20
68,1108,12.66873095,11.91952677,12.51131141,8.830996019,5.424530413,5.871313243,7.702249611,2.248391336,3.075150106,18_20
69,1109,10.79231773,9.038232154,9.469155469,6.042836746,2.807078262,2.98860862,5.119093436,0.926241423,3.605304302,18_20
70,1111,11.16166011,9.270683394,9.581007258,5.957503648,2.636889217,3.254523208,5.438083253,0.736794865,3.865408172,18_20
71,1112,11.1687365,9.266652014,9.571045207,5.941250523,2.619203413,3.253096946,5.440106338,0.747214495,3.883850594,18_20
72,1113,11.01369693,9.038564991,9.338470806,5.752748682,2.465914226,3.036047848,5.242801821,0.979215077,3.972752401,18_20
73,1114,10.95159379,8.971900193,9.280859854,5.721213609,2.450496443,2.968037462,5.175482103,1.037551117,3.972034697,18_20
74,1115,11.50746769,9.496316273,9.697547286,5.898885943,2.520817028,3.522720115,5.743182448,0.72121056,4.126873657,18_20
75,1116,11.44266749,9.393921227,9.589020107,5.803143751,2.43285011,3.42884796,5.658438408,0.815115899,4.168153604,18_20
76,1117,11.27194717,9.166943023,9.3657893,5.631133135,2.288493112,3.212485029,5.455175505,1.000688896,4.217305381,18_20
77,1118,11.20269238,9.054907165,9.246892024,5.528525347,2.200273447,3.11190931,5.364489407,1.113298355,4.270605914,18_20
78,1119,10.98194707,8.907214322,9.170200022,5.570239588,2.29484008,2.930482463,5.16453644,1.150059831,4.123589613,18_20
79,1122,11.57056549,9.838047431,10.15119918,6.422270513,3.044068585,3.805075753,5.946402873,0.19722249,3.72208922,18_20
