,BUSSTOP_ID,BUSSTOP_NAME,NAME_E,LONGITUDE,LATITUDE,ARS_ID,NEXT_BUSSTOP
3823,8104,신풍,Sinpung,126.944835,34.85937,분교,
3824,8105,실버타운반석복지회,Silbeotaunbanseokbokjihoe,126.985595,34.976845,,
3825,8106,실버타운반석복지회,Silbeotaunbanseokbokjihoe,126.985669,34.976865,,
3826,8107,쌍봉1구,Ssangbong District 1,127.039955,34.869313,쌍봉2구,
3827,8108,쌍봉1구,Ssangbong District 1,127.039917,34.869373,매정2구,
3828,8109,쌍봉2구,Ssangbong District 2,127.044174,34.872938,사은동,
3829,8333,모산교,Mosangyo,126.972859,34.978384,모산리,
3830,8334,모산교,Mosangyo,126.972564,34.978483,생명산업,
3831,8335,모산리,Mosan-ri,126.971025,34.980393,모산교,
3832,8336,모산리,Mosan-ri,126.971011,34.980485,능주농공단지,
3833,8337,묘치,Myochi,127.089364,35.06619,묘치재,
3834,8338,묘치,Myochi,127.08931,35.066219,경현리,
3835,8339,무리동,Muri-dong,127.073742,35.053665,,
3836,8340,무리동,Muri-dong,127.0736,35.053663,,
3837,8341,묵곡(리),Mukgok(ri),127.034512,34.90806,월봉,
3838,8342,묵곡(리),Mukgok(ri),127.034582,34.908091,장치리,
3839,8343,미곡리1구,Migok-ri District 1,126.927347,35.020722,미곡리2구,
3840,8344,미곡리2구,Migok-ri District 2,126.929733,35.014034,미곡리1구,
3841,8345,미곡리2구,Migok-ri District 2,126.929832,35.014006,죽청리,
3842,8346,반곡리,Bangok-ri,127.069772,34.973582,,
3843,8347,밤실입구,Bamsir adit,127.132612,35.090913,신율1구,
3844,8348,밤실입구,Bamsir adit,127.132491,35.090981,밤실,
3845,8349,벽지리,Byeokji-ri,126.889349,34.956366,도장리,
3846,8350,벽지리,Byeokji-ri,126.889249,34.956443,정천(리),
3847,8351,변천리입구,Byeoncheon-ri,126.93636,34.924448,월평리,
3848,8352,변천리입구,Byeoncheon-ri,126.936319,34.924577,변천리,
3849,8353,보건소앞,Health Center front,126.98171,35.056618,화순시장,
3850,8354,보건소앞,Health Center front,126.981566,35.056219,화순중(남),
3851,8355,보월(리),Bowol(ri),127.05918,35.11662,,
3852,8356,보월(리),Bowol(ri),127.059229,35.116521,,
3853,8357,보월삼거리,Bowol(ri) 3-Way Junc,127.049273,35.11665,월정,
3854,8358,보월삼거리,Bowol(ri) 3-Way Junc,127.049184,35.116716,송계1구,
3855,8359,복구,Bokgu,126.88622159,34.9700309,운월리,
