,route,id,weekday,route_congestion,id_congestion,weekday_congestion
0,운림35,4570,1,0.14639345572757068,0.028156424581005587,0.8892147147450804
1,첨단30,2046,0,0.37576274347837674,0.004245810055865922,0.48623778995692346
2,상무63,4204,1,0.033494097897625835,0.04033519553072626,0.8892147147450804
3,운림35,1061,6,0.14639345572757068,0.009050279329608939,0.0
4,봉선37,5218,6,0.6160036238642116,0.022513966480446925,0.0
5,금호46,5751,1,0.43222574542353914,0.007318435754189945,0.8892147147450804
6,진월77,3273,4,0.05116043592954781,0.044860335195530725,1.0
7,매월61(칠석),2085,5,0.06909323456526953,0.029553072625698323,0.5360689222804216
8,첨단09,1111,5,0.7431586239974419,0.14033519553072624,0.5360689222804216
9,첨단20,5548,6,0.3153294785365984,0.002681564245810056,0.0
10,운림35,1030,3,0.14639345572757068,0.003016759776536313,0.9594919813133251
11,용전85,4668,2,0.034453356071304855,0.0018435754189944135,0.8655934637086173
12,송정97,5254,5,0.003703802392816222,0.024972067039106143,0.5360689222804216
13,매월16,4457,1,0.31210530523062163,0.07162011173184359,0.8892147147450804
14,일곡10,5406,0,0.321564656665512,0.018044692737430167,0.48623778995692346
15,금호36,2050,3,0.5318553651842575,0.03547486033519553,0.9594919813133251
16,수완03,4435,2,0.9269365024381144,0.11385474860335196,0.8655934637086173
17,상무64,4434,1,0.11055450451650724,0.08960893854748604,0.8892147147450804
18,진월17,4183,4,0.45245010525193846,0.013743016759776537,1.0
19,첨단23,4488,5,0.20605398491832982,0.1453072625698324,0.5360689222804216
20,마을760,2064,5,0.17114764582056544,0.0376536312849162,0.5360689222804216
21,마을720,5284,0,0.23315302832476217,0.01,0.48623778995692346
22,마을788,4557,0,0.09643209251512164,0.03083798882681564,0.48623778995692346
23,대촌70,3235,1,0.035892243331823385,0.16223463687150838,0.8892147147450804
24,운림54,1129,4,0.5250872658477443,0.16860335195530726,1.0
25,지원25,2242,6,0.27773188734045673,0.03910614525139665,0.0
26,마을700,5220,4,0.3366463268405766,0.009664804469273744,1.0
27,수완12,3195,3,0.4011564390204908,0.029217877094972065,0.9594919813133251
28,지원45,2252,4,0.5008926430227291,0.02346368715083799,1.0
29,일곡38,4408,0,0.3309707159796424,0.10849162011173186,0.48623778995692346
30,금남59,1123,2,0.20925151216392657,0.6229050279329609,0.8655934637086173
31,송암74,2031,4,0.2286231980601668,0.11044692737430169,1.0
32,순환01(운천저수지),4348,6,0.2811958751898532,0.10039106145251397,0.0
33,석곡87,1008,6,0.026139785232753336,0.10301675977653632,0.0
34,양산60,4460,0,0.07599456420368249,0.04452513966480447,0.48623778995692346
35,송정19,2164,5,0.27837139278957607,0.01659217877094972,0.5360689222804216
36,1187,4263,4,0.060060220096458734,5.58659217877095e-05,1.0
37,금호36,2270,6,0.5318553651842575,0.03636871508379888,0.0
38,송암68,3217,4,0.25761411175357724,0.04553072625698324,1.0
39,첨단22,2197,0,0.17258653308108396,0.02748603351955307,0.48623778995692346
40,매월16,4158,1,0.31210530523062163,0.029162011173184357,0.8892147147450804
41,송암68,3198,2,0.25761411175357724,0.0050279329608938555,0.8655934637086173
42,지원25,3208,2,0.27773188734045673,0.09614525139664805,0.8655934637086173
43,지원45,1083,0,0.5008926430227291,0.010782122905027933,0.48623778995692346
44,228(화순전대병원),1155,2,0.1584374750193184,0.023016759776536312,0.8655934637086173
45,지원52,1147,3,0.0071677902422126885,0.134804469273743,0.9594919813133251
46,매월16,2213,2,0.31210530523062163,0.14502793296089384,0.8655934637086173
47,상무64,2217,2,0.11055450451650724,0.12189944134078214,0.8655934637086173
48,봉선37,4510,6,0.6160036238642116,0.009832402234636871,0.0
49,228(화순전대병원),4342,3,0.1584374750193184,0.03106145251396648,0.9594919813133251
50,금남59,1135,5,0.20925151216392657,0.08201117318435755,0.5360689222804216
51,지원15,1099,2,0.1649924058727917,0.023743016759776536,0.8655934637086173
52,첨단09,5192,5,0.7431586239974419,0.05659217877094972,0.5360689222804216
53,진월75,2268,1,0.15995630046097684,0.02201117318435754,0.8892147147450804
54,마을720,5219,3,0.23315302832476217,0.0068715083798882685,0.9594919813133251
55,첨단09,5192,3,0.7431586239974419,0.05659217877094972,0.9594919813133251
56,송암74,3198,4,0.2286231980601668,0.0050279329608938555,1.0
57,진월07,4380,4,0.9999999999999999,0.09296089385474861,1.0
58,수완12,3144,1,0.4011564390204908,0.02659217877094972,0.8892147147450804
59,금남59,2290,6,0.20925151216392657,0.02988826815642458,0.0
60,선운101,5001,5,0.10285379306669509,0.0,0.5360689222804216
61,송정19,1006,1,0.27837139278957607,0.03156424581005587,0.8892147147450804
62,송암74,4570,5,0.2286231980601668,0.028156424581005587,0.5360689222804216
63,진월07,3143,0,0.9999999999999999,0.01770949720670391,0.48623778995692346
64,마을760,2091,5,0.17114764582056544,0.021675977653631284,0.5360689222804216
65,송암68,3283,5,0.25761411175357724,0.0035195530726256983,0.5360689222804216
66,일곡10,5754,6,0.321564656665512,0.01743016759776536,0.0
67,금호36,2284,5,0.5318553651842575,0.05128491620111732,0.5360689222804216
68,봉선27,5176,1,0.6712142609715153,0.004804469273743017,0.8892147147450804
69,매월16,4158,4,0.31210530523062163,0.029162011173184357,1.0
70,첨단09,1113,5,0.7431586239974419,0.1388268156424581,0.5360689222804216
71,첨단30,2201,0,0.37576274347837674,0.0010614525139664805,0.48623778995692346
72,송정29,5290,0,0.5279383943084014,0.014748603351955308,0.48623778995692346
73,순환01(시청행),1027,4,0.2940392762930001,0.03636871508379888,1.0
74,지원45,1151,4,0.5008926430227291,0.08530726256983241,1.0
75,마을720,5186,5,0.23315302832476217,0.0846368715083799,0.5360689222804216
76,첨단09,5432,4,0.7431586239974419,0.012067039106145252,1.0
77,문흥18,5714,1,0.7325534919662127,0.02100558659217877,0.8892147147450804
78,금남55,1136,4,0.17927469423645714,0.5873743016759776,1.0
79,송정19,5254,2,0.27837139278957607,0.024972067039106143,0.8655934637086173
80,송암72,2281,4,0.27237602920408216,0.015195530726256984,1.0
