,route,id,weekday,route_congestion,id_congestion,weekday_congestion
0,송정19,2166,1,0.3027320611660926,0.03364565587734242,0.89824962864828
1,첨단20,2228,2,0.46676508648185616,0.0782580919931857,0.900638323497531
2,송암73,3243,6,0.30233109154865406,0.9940374787052811,0.0
3,송암31,2037,2,0.1721799989064465,0.06729131175468485,0.900638323497531
4,매월16,4157,1,0.3612189476370132,0.18771294718909712,0.89824962864828
5,마을788,4574,3,0.16638416534528952,0.14831771720613288,1.0000000000000002
6,순환01(시청행),2023,0,0.3194452038565987,0.500958262350937,0.8433096471155006
7,운림35,1168,5,0.29115861993548037,0.019271720613287906,0.38278333132602677
8,일곡28,4553,3,0.7716295769770537,0.16716354344122658,1.0000000000000002
9,첨단30,2167,0,0.4430714272695792,0.19623083475298128,0.8433096471155006
10,송정29,5303,1,0.7390052308309185,0.5812393526405452,0.89824962864828
11,봉선27,4416,5,0.8348551952904296,0.3073892674616695,0.38278333132602677
12,송암68,3284,3,0.3177137441449323,0.0893313458262351,1.0000000000000002
13,마을700,5297,2,0.4138735487633733,0.21954855195911416,0.900638323497531
14,금남55,1018,3,0.23110430677820912,0.27214650766609877,1.0000000000000002
15,금남59,1122,1,0.28625585506770923,0.07666098807495741,0.89824962864828
16,송암68,2175,1,0.3177137441449323,0.05738926746166951,0.89824962864828
17,봉선37,5258,5,0.8434942679570598,0.02864139693356048,0.38278333132602677
18,지원25,2119,5,0.32190569923633516,0.1653534923339012,0.38278333132602677
19,선운101,5913,3,0.1620281772285709,0.026937819420783646,1.0000000000000002
20,금호36,2084,5,0.5832649862394518,0.3588160136286201,0.38278333132602677
21,일곡10,4061,5,0.3467293637341207,0.13958688245315162,0.38278333132602677
22,진월17,3213,4,0.7121402664625367,0.24063032367972745,0.896357742181541
23,첨단95,4080,2,0.4376947892175625,0.12531942078364566,0.900638323497531
24,봉선37,1147,3,0.8434942679570598,0.4651831345826235,1.0000000000000002
25,지원52,1105,3,0.03240563544571418,0.005536626916524702,1.0000000000000002
26,문흥80,1054,6,0.09087429602493302,0.043760647359454855,0.0
27,석곡87,4170,0,0.06683434487032279,0.09806218057921637,0.8433096471155006
28,1187,4536,5,0.10040643738494906,0.04290885860306644,0.38278333132602677
29,문흥53,4238,1,0.11939781653817413,0.24499574105621807,0.89824962864828
30,용전184,4379,0,0.044926823044817474,0.13447614991482112,0.8433096471155006
31,송정29,4157,3,0.7390052308309185,0.18771294718909712,1.0000000000000002
32,228(화순전대병원),1139,6,0.03369967375653854,0.09476149914821125,0.0
33,운림35,1163,0,0.29115861993548037,0.4707197614991482,0.8433096471155006
34,대촌70,3210,1,0.08469571873803926,0.3363500851788756,0.89824962864828
35,지원15,1149,5,0.3003080175697596,0.21709965928449745,0.38278333132602677
36,진월07,4361,6,0.9770353764557932,0.18057921635434412,0.0
37,송암74,2298,1,0.29819381413235646,0.14203577512776833,0.89824962864828
38,양산60,4460,6,0.1306067399347513,0.27640545144804085,0.0
39,첨단95,4497,4,0.4376947892175625,0.1645017035775128,0.896357742181541
40,첨단40,5447,1,0.17863196456886654,0.06377768313458262,0.89824962864828
41,금호36,2167,2,0.5832649862394518,0.19623083475298128,0.900638323497531
42,송암47,3007,4,0.35587876136839997,0.22327512776831346,0.896357742181541
43,일곡10,5721,1,0.3467293637341207,0.06058347529812606,0.89824962864828
44,첨단40,5156,1,0.17863196456886654,0.031942078364565585,0.89824962864828
45,금남58,4527,3,0.17917874131991907,0.10604770017035776,1.0000000000000002
46,수완12,5745,5,0.5133869174549365,0.30089437819420783,0.38278333132602677
47,진월07,3144,0,0.9770353764557932,0.09039608177172062,0.8433096471155006
48,수완12,2056,4,0.5133869174549365,0.05579216354344123,0.896357742181541
49,진월07,4552,1,0.9770353764557932,0.2938671209540034,0.89824962864828
50,진월75,5006,4,0.2205879672662985,0.01948466780238501,0.896357742181541
51,용봉83,1006,5,0.19282993420453096,0.08635008517887564,0.38278333132602677
52,228(구151화순사평),2179,5,0.13044270690943555,0.03854344122657581,0.38278333132602677
53,일곡10,4481,1,0.3467293637341207,0.9894591141396935,0.89824962864828
54,마을777(우치공원),4198,5,0.027812710736872803,0.505962521294719,0.38278333132602677
55,419,4401,5,0.10277580330617676,0.17344548551959116,0.38278333132602677
56,수완49,1160,5,0.16642061712869302,0.4695485519591141,0.38278333132602677
57,봉선27,1026,2,0.8348551952904296,0.3135647359454855,0.900638323497531
58,지원152(능주역),6394,6,0.10631162629631656,0.132133730834753,0.0
59,선운14,2241,0,0.20376546922558186,0.10413117546848383,0.8433096471155006
60,첨단20,5101,2,0.46676508648185616,0.06931431005110733,0.900638323497531
61,첨단30,4250,1,0.4430714272695792,0.1675894378194208,0.89824962864828
62,매월26,2309,4,0.6061749321085534,0.036626916524701875,0.896357742181541
63,첨단94,5193,0,0.03164014799424062,0.14927597955706987,0.8433096471155006
64,좌석02,2192,1,0.31519857109009064,0.423232538330494,0.89824962864828
65,문흥39,2274,3,0.3791714509632384,0.15034071550255537,1.0000000000000002
66,매월26,2032,5,0.6061749321085534,0.542802385008518,0.38278333132602677
67,첨단95,1112,5,0.4376947892175625,0.18824531516183987,0.38278333132602677
68,석곡87,4220,0,0.06683434487032279,0.07240204429301535,0.8433096471155006
69,송암72,5699,1,0.4570142344214191,0.01032793867120954,0.89824962864828
70,송정19,2224,2,0.3027320611660926,0.04919080068143101,0.900638323497531
71,송암68,3286,6,0.3177137441449323,0.279706132879046,0.0
72,첨단40,5439,0,0.17863196456886654,0.039714650766609884,0.8433096471155006
73,수완49,1146,5,0.16642061712869302,0.20251277683134583,0.38278333132602677
74,첨단95,4003,6,0.4376947892175625,0.25276831345826234,0.0
75,진곡196,5896,3,0.24925729491315363,0.006281942078364565,1.0000000000000002
76,문흥18,5178,3,0.8845207501777025,0.10104344122657581,1.0000000000000002
77,마을760,2164,0,0.2035649844168626,0.06675894378194208,0.8433096471155006
78,운림54,1154,6,1.0,0.11477853492333902,0.0
79,송암73,2077,0,0.30233109154865406,0.15885860306643954,0.8433096471155006
80,매월06,3091,2,0.5151001512749012,0.4038543441226576,0.900638323497531
81,문흥80,4380,1,0.09087429602493302,0.5423764906303237,0.89824962864828
82,첨단22,2119,6,0.20467676381066943,0.1653534923339012,0.0
83,봉선37,5659,6,0.8434942679570598,0.03726575809199319,0.0
84,용전184,4542,4,0.044926823044817474,0.01469335604770017,0.896357742181541
85,송정29,5271,6,0.7390052308309185,0.49137563884156726,0.0
86,송암72,4342,0,0.4570142344214191,0.1961243611584327,0.8433096471155006
87,매월26,2288,3,0.6061749321085534,0.08890545144804089,1.0000000000000002
88,진월177,3236,4,0.027812710736872803,1.0,0.896357742181541
89,운림51,5197,2,0.6384529863123554,0.04493185689948893,0.900638323497531
90,두암81(각화초교),4312,0,0.04481746769460696,0.026831345826235094,0.8433096471155006
91,금남55,3098,3,0.23110430677820912,0.01586456558773424,1.0000000000000002
92,마을760,2167,2,0.2035649844168626,0.19623083475298128,0.900638323497531
93,상무64,4434,0,0.11883281389541984,0.7508517887563885,0.8433096471155006
94,금남55,1013,0,0.23110430677820912,0.02608603066439523,0.8433096471155006
95,첨단23,4366,4,0.30036269524486486,0.018100511073253833,0.896357742181541
96,마을760,2167,3,0.2035649844168626,0.19623083475298128,1.0000000000000002
97,지원15,4480,5,0.3003080175697596,0.08805366269165248,0.38278333132602677
98,마을720,5311,1,0.5935808409426432,0.1053023850085179,0.89824962864828
99,첨단23,4066,2,0.30036269524486486,0.16109454855195912,0.900638323497531
100,좌석02,2238,4,0.31519857109009064,0.1817504258943782,0.896357742181541
101,상무64,4402,5,0.11883281389541984,0.31622657580919933,0.38278333132602677
102,첨단30,5428,4,0.4430714272695792,0.12042163543441227,0.896357742181541
103,첨단40,5298,4,0.17863196456886654,0.20464224872231687,0.896357742181541
104,진월07,4197,3,0.9770353764557932,0.34902044293015333,1.0000000000000002
105,일곡28,1018,2,0.7716295769770537,0.27214650766609877,0.900638323497531
106,금남55,3093,0,0.23110430677820912,0.25883730834752977,0.8433096471155006
107,첨단40,5257,3,0.17863196456886654,0.07133730834752983,1.0000000000000002
108,첨단40,5274,2,0.17863196456886654,0.2952512776831346,0.900638323497531
109,송정98,4529,5,0.6793518872910858,0.059092844974446335,0.38278333132602677
110,문흥80,4235,3,0.09087429602493302,0.3481686541737649,1.0000000000000002
111,진월77,3273,5,0.08533362494760056,0.12776831345826237,0.38278333132602677
