,route,id,weekday,route_congestion,id_congestion,weekday_congestion
0,금호36,3007,0,0.5419870099933559,0.14830424434748116,0.762226354451398
1,매월26,2295,6,0.573689134767929,0.01913923046410155,0.0
2,운림51,4441,1,0.5071526393578218,0.21410154700515668,0.8956687656880403
3,송정19,4238,0,0.30736687955090913,0.21752280840936136,0.762226354451398
4,용전84,4461,4,0.044380262783224184,0.19947441491471637,0.9389131374138827
5,지원45,2014,0,0.5199528129194972,0.05102142007140024,0.762226354451398
6,수완12,1130,2,0.4314227989532061,0.6233637445458152,0.943685700275284
7,양산60,4642,5,0.09118767712104571,0.004065846886156287,0.3536648718981983
8,일곡38,5149,6,0.4063512725596279,0.1528163427211424,0.0
9,마을700,5318,4,0.44932134673012514,0.041501388337961125,0.9389131374138827
10,419,4394,1,0.0932080434988949,0.0054046013486711625,0.8956687656880403
11,228(화순전대병원),1089,5,0.15528346147066402,0.0022312574375247915,0.3536648718981983
12,지원56,3254,6,0.09743860933707575,0.0796806822689409,0.0
13,대촌70,3166,2,0.06059743182958413,0.12227290757635859,0.943685700275284
14,진곡196,5029,4,0.18453131567885667,0.0,0.9389131374138827
15,운림54,4564,1,0.7263420520956216,0.21400238000793334,0.8956687656880403
16,지원56,3106,4,0.09743860933707575,0.05369892899642999,0.9389131374138827
17,진월07,4361,1,1.0,0.07963109877032924,0.8956687656880403
18,봉선27,1141,1,0.748728796322662,0.2706763189210631,0.8956687656880403
19,금호46,5701,0,0.4271108760796756,0.1312475208250694,0.762226354451398
20,봉선27,4159,1,0.748728796322662,0.0403609678698929,0.8956687656880403
21,1187,1014,0,0.060027932582136706,0.027568425228084094,0.762226354451398
22,518,4544,1,0.11810329631588225,0.005156683855612852,0.8956687656880403
23,마을720,5274,2,0.4968202958684185,0.39007338357794524,0.943685700275284
24,일곡10,4615,6,0.3327367150741027,0.0910353034510115,0.0
25,용전86,4253,2,0.058278756322119624,0.04745140817136057,0.943685700275284
26,유덕65,2157,3,0.014129005139052733,0.0012395874652915508,0.9999999999999999
27,선운14,5240,4,0.1572495898249468,0.022907576358587863,0.9389131374138827
28,228(화순전대병원),6402,3,0.15528346147066402,0.013734629115430386,0.9999999999999999
29,송암47,3162,3,0.3384045885367937,0.3803550178500595,0.9999999999999999
30,상무64,2064,0,0.10313360181154999,0.0918286394287981,0.762226354451398
31,봉선27,5584,5,0.748728796322662,0.04046013486711622,0.3536648718981983
32,봉선37,5295,5,0.7249996610123527,0.0564260214200714,0.3536648718981983
33,일곡28,4416,2,0.7727426812566951,0.22575366917889725,0.943685700275284
34,지원45,2026,6,0.5199528129194972,0.022064656882189608,0.0
35,문흥80,4425,2,0.08313333062143215,0.25956961523205074,0.943685700275284
36,마을788,4065,6,0.167961599479315,0.0009916699722332407,0.0
37,228(화순전대병원),4529,3,0.15528346147066402,0.028808012693375646,0.9999999999999999
38,마을700,5157,6,0.44932134673012514,0.0745735819119397,0.0
39,매월16,2174,5,0.3531708904527519,0.02652717175723919,0.3536648718981983
40,선운14,2072,5,0.1572495898249468,0.015271717572391909,0.3536648718981983
41,마을720,5306,5,0.4968202958684185,0.1943673145577152,0.3536648718981983
42,첨단20,2132,0,0.36654056326187473,0.022659658865529553,0.762226354451398
43,금남58,4451,4,0.1713243569404331,0.17403808012693375,0.9389131374138827
44,순환01(시청행),2223,0,0.3023634218769068,0.03416303054343514,0.762226354451398
45,두암81(각화초교),1033,3,0.03888866289712403,0.039815549385164614,0.9999999999999999
46,지원45,1130,2,0.5199528129194972,0.6233637445458152,0.943685700275284
47,진곡196,6053,3,0.18453131567885667,0.009321697738992465,0.9999999999999999
48,선운101,5274,2,0.14135784891998537,0.39007338357794524,0.943685700275284
49,상무63,2063,2,0.044054834641825656,0.08141610472034908,0.943685700275284
50,운림51,5193,4,0.5071526393578218,0.0370884569615232,0.9389131374138827
51,지원15,4379,2,0.27514949355245494,0.1097282824276081,0.943685700275284
52,문흥53,2001,1,0.11996094862303217,0.5541947639825466,0.8956687656880403
53,운림50,3088,6,0.2609798098957274,0.042443474811582706,0.0
54,송정19,2133,0,0.30736687955090913,0.015717969059896867,0.762226354451398
55,송정98,5178,4,0.6192219555519397,0.0257338357794526,0.9389131374138827
56,순환01(시청행),1017,3,0.3023634218769068,0.6857397857992861,0.9999999999999999
57,봉선27,4348,3,0.748728796322662,0.19466481554938517,0.9999999999999999
58,매월06,1008,3,0.5173629472942006,0.2323482744942483,0.9999999999999999
59,송암68,3203,2,0.3039227650544414,0.007437524791749306,0.943685700275284
60,송정33,4076,1,0.26473579302770206,0.012544625148750497,0.8956687656880403
61,마을715(대촌),1014,1,0.10040814112733731,0.027568425228084094,0.8956687656880403
62,지원25,3081,0,0.26685107594679247,0.14136255454184846,0.762226354451398
63,문흥53,4240,1,0.11996094862303217,0.03475803252677509,0.8956687656880403
64,첨단22,2232,6,0.2083011295068408,0.31168187227290756,0.0
65,금호46,5742,0,0.4271108760796756,0.17636850456168188,0.762226354451398
66,운림54,1150,4,0.7263420520956216,0.026626338754462516,0.9389131374138827
67,송암47,3238,1,0.3384045885367937,0.02434549781832606,0.8956687656880403
68,진월17,3160,6,0.6295271800295598,0.06202895676318921,0.0
69,일곡28,4408,0,0.7727426812566951,0.14780840936136452,0.762226354451398
70,송정29,5316,0,0.6081573987443898,0.1867810392701309,0.762226354451398
71,매월16,5456,4,0.3531708904527519,0.02791550971836573,0.9389131374138827
72,문흥53,4368,1,0.11996094862303217,0.2663129710432368,0.8956687656880403
73,수완12,5963,4,0.4314227989532061,0.018841729472431575,0.9389131374138827
74,대촌71,5126,4,0.006684836404561418,0.09306822689408965,0.9389131374138827
75,일곡10,5545,4,0.3327367150741027,0.0010908369694565647,0.9389131374138827
76,진월79,3242,1,0.08067906005505159,0.11949623165410551,0.8956687656880403
77,송암31,3104,1,0.14118157534339448,0.044426814756049184,0.8956687656880403
78,송암72,2205,3,0.37791698870493157,0.06455771519238399,0.9999999999999999
79,진월17,3242,4,0.6295271800295598,0.11949623165410551,0.9389131374138827
80,지원15,1150,2,0.27514949355245494,0.026626338754462516,0.943685700275284
81,금남55,1125,3,0.2170741298187094,0.0005950019833399445,0.9999999999999999
82,금남57,4347,0,0.3353808187229657,0.09996033320111067,0.762226354451398
83,매월06,1007,4,0.5173629472942006,0.14180880602935342,0.9389131374138827
84,용전84,4206,2,0.044380262783224184,0.010015866719555733,0.943685700275284
85,첨단40,5273,3,0.12602204775657977,0.5918782229274098,0.9999999999999999
86,금남58,4343,3,0.1713243569404331,0.09643990479968267,0.9999999999999999
87,충효187,4422,4,0.02599357279420738,0.0031733439111463705,0.9389131374138827
88,금남58,4455,5,0.1713243569404331,0.2980959936533122,0.3536648718981983
89,마을760,2069,0,0.17524305414310704,0.09480364934549783,0.762226354451398
90,지원56,3129,5,0.09743860933707575,0.0675327251090837,0.3536648718981983
91,진월17,2094,5,0.6295271800295598,0.053748512495041645,0.3536648718981983
92,매월16,4489,0,0.3531708904527519,0.03817929393097977,0.762226354451398
93,용전184,6426,4,0.03425131188219501,0.0009916699722332407,0.9389131374138827
94,송암68,2177,4,0.3039227650544414,0.013090043633478779,0.9389131374138827
95,선운101,5273,1,0.14135784891998537,0.5918782229274098,0.8956687656880403
96,마을720,5316,5,0.4968202958684185,0.1867810392701309,0.3536648718981983
97,금남57,4376,2,0.3353808187229657,0.08806029353431179,0.943685700275284
98,첨단23,4215,3,0.2934412670002305,0.02404799682665609,0.9999999999999999
99,석곡87,4295,1,0.049519315516142595,0.002776675922253074,0.8956687656880403
100,마을720,5406,6,0.4968202958684185,0.05012891709639032,0.0
101,첨단23,5418,3,0.2934412670002305,0.049385164617215385,0.9999999999999999
102,봉선27,5171,5,0.748728796322662,0.010214200714002381,0.3536648718981983
103,송정33,5421,6,0.26473579302770206,0.011999206664022214,0.0
104,송정296,5159,6,0.01731548902357998,0.4154601348671162,0.0
105,일곡10,5583,0,0.3327367150741027,0.020527568425228085,0.762226354451398
106,228(화순전대병원),1096,3,0.15528346147066402,0.04581515271717572,0.9999999999999999
107,지원15,1017,4,0.27514949355245494,0.6857397857992861,0.9389131374138827
108,일곡38,4251,2,0.4063512725596279,0.17716184053946846,0.943685700275284
109,운림51,1139,3,0.5071526393578218,0.053500595001983335,0.9999999999999999
110,마을788,4465,0,0.167961599479315,0.0065450218167393895,0.762226354451398
111,매월26,2287,5,0.573689134767929,0.019833399444664817,0.3536648718981983
112,상무64,4447,1,0.10313360181154999,0.023700912336374457,0.8956687656880403
113,지원45,2031,6,0.5199528129194972,0.15757635858786195,0.0
114,송암31,2270,1,0.14118157534339448,0.04968266560888536,0.8956687656880403
115,매월16,2317,2,0.3531708904527519,0.08890321301071004,0.943685700275284
116,지원52,1150,2,0.009505213630015321,0.026626338754462516,0.943685700275284
