,id,route,dong_name,dist
3009,4425,용봉83,우산동, 북구 
3010,4425,용봉83,우산동, 광산구 
3011,5159,송정197,송정2동, 광산구 
3012,4240,진월17,문흥1동, 북구 
3013,2021,송암74,금호2동, 서구 
3014,4165,지원15,두암1동, 북구 
3015,5755,일곡10,수완동, 광산구 
3016,2264,지원45,풍암동, 서구 
3017,5149,송정33,송정1동, 광산구 
3018,5961,첨단20,우산동, 북구 
3019,5961,첨단20,우산동, 광산구 
3020,1150,운림35,학동, 동구 
3021,2052,송암73,농성2동, 서구 
3022,5296,수완03,운남동, 광산구 
3023,5296,마을700,운남동, 광산구 
3024,4343,수완49,신안동, 북구 
3025,4037,첨단92,대촌동, 남구 
3026,2315,금남59,화정4동, 서구 
3027,4061,금남57,양산동, 북구 
3028,4347,매월26,신안동, 북구 
3029,4415,충효187,우산동, 북구 
3030,4415,충효187,우산동, 광산구 
3031,3214,송정98,주월1동, 남구 
3032,4237,첨단23,문흥1동, 북구 
3033,2044,마을760,양3동, 서구 
3034,4208,문흥53,매곡동, 북구 
3035,1004,매월06,계림1동, 동구 
3036,3201,대촌70,월산동, 남구 
3037,2284,송암72,농성1동, 서구 
3038,4427,양산60,운암1동, 북구 
3039,5152,지원45,송정1동, 광산구 
3040,2079,송암73,상무2동, 서구 
3041,4475,마을777,일곡동, 북구 
3042,3206,송정98,주월1동, 남구 
3043,4134,용전85,양산동, 북구 
3044,5149,마을720,송정1동, 광산구 
3045,4034,마을788,양산동, 북구 
3046,2299,송암31,화정2동, 서구 
3047,3240,진월78,진월동, 남구 
3048,2283,송암68,화정1동, 서구 
3049,2236,매월16,치평동, 서구 
3050,3120,금남55,봉선2동, 남구 
3051,1167,운림50,학동, 동구 
3052,5014,송정19,도산동, 광산구 
3053,5274,송정98,우산동, 북구 
3054,5274,송정98,우산동, 광산구 
3055,4151,매월16,동림동, 북구 
3056,4344,상무64,신안동, 북구 
3057,4344,마을777,신안동, 북구 
3058,3189,진월07,백운2동, 남구 
3059,5126,대촌170,월산동, 남구 
3060,1690,마을715(대촌),산수1동, 동구 
3061,3241,진월75,진월동, 남구 
3062,4431,봉선27,운암3동, 북구 
3063,3177,수완12,월산4동, 남구 
3064,2012,지원45,금호1동, 서구 
3065,3093,진월07,백운2동, 남구 
3066,5272,마을720,우산동, 북구 
3067,5272,마을720,우산동, 광산구 
3068,4638,첨단22,신용동, 북구 
3069,2302,송암47,화정3동, 서구 
3070,1003,518,계림1동, 동구 
3071,4346,첨단30,신안동, 북구 
3072,1027,일곡28,산수1동, 동구 
3073,5727,송정33,신가동, 광산구 
3074,4165,문흥39,두암1동, 북구 
3075,5729,수완49,신가동, 광산구 
3076,5322,임곡89,월곡2동, 광산구 
3077,4350,송암72,신안동, 북구 
3078,3254,송정98,봉선2동, 남구 
3079,2047,임곡89,농성1동, 서구 
3080,2287,마을763,화정2동, 서구 
3081,4549,금남55,중흥2동, 북구 
3082,2230,순환01(시청행),치평동, 서구 
3083,4543,용전184,중흥2동, 북구 
3084,4167,마을788,두암1동, 북구 
3085,4405,419,용봉동, 북구 
3086,1032,진월17,산수2동, 동구 
3087,3185,지원25,월산5동, 남구 
3088,2209,상무63,치평동, 서구 
3089,5310,마을720,우산동, 북구 
3090,5310,마을720,우산동, 광산구 
3091,3200,마을715(대촌),월산동, 남구 
3092,4465,마을788,양산동, 북구 
3093,5400,마을700,비아동, 광산구 
3094,5284,첨단40,우산동, 북구 
3095,5284,첨단40,우산동, 광산구 
3096,3093,매월06,백운2동, 남구 
3097,2217,일곡38,치평동, 서구 
3098,4532,송정98,중흥1동, 북구 
3099,4462,상무63,운암3동, 북구 
3100,5727,수완03,신가동, 광산구 
3101,1163,운림51,학동, 동구 
3102,3120,봉선76,봉선2동, 남구 
3103,2173,유덕65,양동, 서구 
3104,2008,유덕65,광천동, 서구 
3105,3179,진월77,월산4동, 남구 
3106,4467,일곡10,일곡동, 북구 
3107,5216,진월75,우산동, 북구 
3108,5216,진월75,우산동, 광산구 
3109,5315,봉선37,월곡2동, 광산구 
3110,5418,첨단23,첨단1동, 광산구 
3111,4380,운림54,용봉동, 북구 
3112,5186,송정29,신가동, 광산구 
3113,4010,첨단95,양산동, 북구 
3114,3214,금남59,주월1동, 남구 
3115,2080,운림50,상무2동, 서구 
3116,2306,진월77,화정3동, 서구 
3117,4236,문흥80,문흥1동, 북구 
3118,4152,봉선27,동림동, 북구 
3119,5280,선운101,우산동, 북구 
3120,5280,선운101,우산동, 광산구 
3121,2290,매월26,화정2동, 서구 
3122,3088,봉선37,방림2동, 남구 
3123,4144,228(화순전대병원),동천동, 서구 
3124,5755,마을700,수완동, 광산구 
