정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
KJB1501,첨단라인아파트,,,Cheomdan Line Apt.,35.21753611,126.8387611,2021-09-16 5:01,5449,24,광주광역시
KJB1502,송정호반아파트,,,Songjeong Hoban Apt.,35.126802,126.789745,2021-09-16 5:01,5012,24,광주광역시
KJB1503,송정호반아파트,,,Songjeong Hoban Apt.,35.126949,126.789686,2021-09-16 5:01,5013,24,광주광역시
KJB1504,광주중,,,Gwangju Middle School,35.12598611,126.85535,2021-09-16 5:01,2016,24,광주광역시
KJB1505,신창호반아파트,,,Sinchang Hoban Apt.,35.19908889,126.8382222,2021-09-16 5:01,5114,24,광주광역시
KJB1506,광주중,,,Gwangju Middle School,35.125806,126.855433,2021-09-16 5:01,2015,24,광주광역시
KJB1507,비아호반아파트,,,Bia Hoban Apt.,35.22330556,126.8242139,2021-09-16 5:01,5103,24,광주광역시
KJB1508,첨단생활체육공원,,,Cheomdan Sports Park,35.21011111,126.8512806,2021-09-16 5:01,5456,24,광주광역시
KJB1509,첨단생활체육공원,,,Cheomdan Sports Park,35.21008333,126.8514722,2021-09-16 5:01,5455,24,광주광역시
KJB1510,홍림교,,,Hongnimgyo Bridge,35.13170833,126.9359444,2021-09-16 5:01,1168,24,광주광역시
KJB1511,홍림교,,,Hongnimgyo Bridge,35.13208611,126.9353444,2021-09-16 5:01,1167,24,광주광역시
KJB1512,화산(장성),,,Hwasan(Jangseong),35.19679444,126.6664528,2021-09-16 5:01,6244,24,광주광역시
KJB1513,화순제일중,,,Hwasun Jeil Middle School,35.05441111,126.976375,2021-09-16 5:01,6399,24,광주광역시
KJB1514,화순광업소,,,Hwasun Mining Office,35.03333611,127.0699083,2021-09-16 5:01,6332,24,광주광역시
KJB1515,화순광업소,,,Hwasun Mining Office,35.03342778,127.070025,2021-09-16 5:01,6331,24,광주광역시
KJB1516,화순교(남),,,Hwasungyo(Bridge),35.059625,126.9892583,2021-09-16 5:01,6429,24,광주광역시
KJB1517,화순교(남),,,Hwasungyo(Bridge),35.05961389,126.9893861,2021-09-16 5:01,6618,24,광주광역시
KJB1518,화순교(동),,,Hwasungyo(Bridge),35.06040278,126.9893639,2021-09-16 5:01,6377,24,광주광역시
KJB1520,대리교통광장(서),,,Daeri Traffic plaza(West),35.05300278,126.9712556,2021-09-16 5:01,6343,24,광주광역시
KJB1521,화순군선거관리위원회,,,Hwasun-gun Election Commission,35.06338611,126.9801111,2021-09-16 5:01,6382,24,광주광역시
KJB1522,화순군선거관리위원회,,,Hwasun-gun Election Commission,35.063325,126.9800056,2021-09-16 5:01,6381,24,광주광역시
KJB1523,화순부영3차아파트,,,Hwasun booyoung 3rd Apt.,35.06035833,126.9940944,2021-09-16 5:01,6384,24,광주광역시
KJB3785,비아119안전센터(북),,,Bia Fire House (North),35.22074167,126.8233972,2021-09-16 5:01,5688,24,광주광역시
KJB3786,비아119안전센터(북),,,Bia Fire House (North),35.22083333,126.8233056,2021-09-16 5:01,5687,24,광주광역시
KJB3787,구신한포토닉스,,,Former Shinhan Photonics,35.22383333,126.8567417,2021-09-16 5:01,4601,24,광주광역시
KJB3788,구신한포토닉스,,,Former Shinhan Photonics,35.22390833,126.8566361,2021-09-16 5:01,4602,24,광주광역시
KJB3789,절골입구(북),,,Jeolgol Entrance (North),35.110825,126.8290528,2021-09-16 5:01,2334,24,광주광역시
KJB3790,절골입구(북),,,Jeolgol Entrance (North),35.11086667,126.8290083,2021-09-16 5:01,2333,24,광주광역시
KJB3791,지산유원지,,,Jisan Recreation Area,35.15020556,126.94485,2021-09-16 5:01,1172,24,광주광역시
KJB3794,고령친화종합체험관,,,Senior Technology Complex,35.09693068,126.8951905,2021-09-16 5:01,3264,24,광주광역시
KJB3795,고령친화종합체험관,,,Senior Technology Complex,35.09659711,126.8956304,2021-09-16 5:01,3265,24,광주광역시
KJB3799,조각배어린이공원,,,Jogakbae Children's Park,35.10296944,126.9028472,2021-09-16 5:01,3267,24,광주광역시
KJB3800,조각배어린이공원,,,Jogakbae Children's Park,35.10301111,126.9026639,2021-09-16 5:01,3266,24,광주광역시
KJB3801,명진고,,,Myeongjin High School,35.185125,126.8291361,2021-09-16 5:01,5712,24,광주광역시
KJB3802,명진고,,,Myeongjin High School,35.18507778,126.8290361,2021-09-16 5:01,5713,24,광주광역시
KJB3803,대리교통광장(남),,,Daeri Traffic plaza(South),35.05262222,126.9720639,2021-09-16 5:01,6441,24,광주광역시
KJB3804,대리교통광장(남),,,Daeri Traffic plaza(South),35.05261111,126.9722,2021-09-16 5:01,6432,24,광주광역시
KJB3806,수완우미린2차,,,Suwan Woomi Lynn 2nd Apt.,35.20027549,126.8206121,2021-09-16 5:01,5700,24,광주광역시
KJB3807,수완우미린2차,,,Suwan Woomi Lynn 2nd Apt.,35.20025326,126.820126,2021-09-16 5:01,5701,24,광주광역시
KJB3808,수완현진에버빌1차,,,Suwan Hyunjin Evervill 1st Apt.,35.19458729,126.8232231,2021-09-16 5:01,5702,24,광주광역시
KJB3809,수완현진에버빌1차,,,Suwan Hyunjin Evervill 1st Apt.,35.19461227,126.8227371,2021-09-16 5:01,5703,24,광주광역시
KJB3810,성덕마을,,,Seongdeok Village,35.19074068,126.8165708,2021-09-16 5:01,5704,24,광주광역시
KJB3811,성덕마을,,,Seongdeok Village,35.19101258,126.8165569,2021-09-16 5:01,5705,24,광주광역시
KJB3812,수완새한포유,,,Suwan Saehan ForYou Apt.,35.18751333,126.814205,2021-09-16 5:01,5706,24,광주광역시
KJB3813,수완새한포유,,,Suwan Saehan ForYou Apt.,35.18805,126.8140383,2021-09-16 5:01,5707,24,광주광역시
KJB3814,수완중흥S-클래스 2차,,,Suwan Jungheung S-Class 2nd Apt.,35.18342172,126.8139492,2021-09-16 5:01,5708,24,광주광역시
KJB3815,수완중흥S-클래스 2차,,,Suwan Jungheung S-Class 2nd Apt.,35.183122,126.813456,2021-09-16 5:01,5709,24,광주광역시
KJB3816,성덕교,,,Seongdeokgyo Bridge,35.19082778,126.8251667,2021-09-16 5:01,5710,24,광주광역시
KJB3817,성덕교,,,Seongdeokgyo Bridge,35.19064167,126.8252117,2021-09-16 5:01,5711,24,광주광역시
KJB3829,하남2지구,,,Hanam District 2,35.17595,126.797966,2021-09-16 5:01,5752,24,광주광역시
KJB3830,하남2지구,,,Hanam District 2,35.175958,126.798846,2021-09-16 5:01,5753,24,광주광역시
KJB3831,수완영무예다음,,,Suwan Youngmu Yedaum Apt.,35.19531333,126.8186083,2021-09-16 5:01,5754,24,광주광역시
KJB3832,수완영무예다음,,,Suwan Youngmu Yedaum Apt.,35.1952,126.8187733,2021-09-16 5:01,5755,24,광주광역시
KJB3833,하남부영3차아파트,,,Hanam Buyeong Apt 3,35.17785278,126.7951944,2021-09-16 5:01,5756,24,광주광역시
KJB3834,하남부영3차아파트,,,Hanam Buyeong Apt 3,35.17768889,126.7955,2021-09-16 5:01,5757,24,광주광역시
KJB3835,하남공단체육공원,,,Hanam Industrial Complex Sports Park,35.19113996,126.7940036,2021-09-16 5:01,5758,24,광주광역시
KJB3836,화천기공,,,Hwacheon Machine Tool,35.196725,126.8068383,2021-09-16 5:01,5759,24,광주광역시
KJB3837,화천기공,,,Hwacheon Machine Tool,35.19681667,126.8060383,2021-09-16 5:01,5760,24,광주광역시
KJB3838,수완진흥더루벤스,,,Suwan Jinheung The Rubens Apt.,35.19546333,126.8130333,2021-09-16 5:01,5761,24,광주광역시
KJB3839,수완진흥더루벤스,,,Suwan Jinheung The Rubens Apt.,35.19596667,126.8127567,2021-09-16 5:01,5762,24,광주광역시
KJB3840,하남초교,,,Hanam Elementary School,35.18035667,126.7988383,2021-09-16 5:01,5763,24,광주광역시
KJB3841,하남초교,,,Hanam Elementary School,35.18012333,126.798235,2021-09-16 5:01,5764,24,광주광역시
KJB3842,효덕초교,,,Hyodeok Elementary School,35.11229782,126.8969076,2021-09-16 5:01,3270,24,광주광역시
KJB3846,다사로움1차아파트,,,Dasaroum 1st Apartment,35.173905,126.8002433,2021-09-16 5:01,5716,24,광주광역시
KJB3847,다사로움1차아파트,,,Dasaroum 1st Apartment,35.17441167,126.8000733,2021-09-16 5:01,5717,24,광주광역시
KJB3848,산정초교,,,Sanjeong Elementary School,35.17241443,126.8019395,2021-09-16 5:01,5714,24,광주광역시
