일자,노선명,정류장명,ARS_ID,시간,승하차,거래건수
20220312,첨단09,조선대병원,1149,21,승차,2
20220312,첨단09,조선대병원,1149,21,하차,1
20220312,첨단09,조선대병원,1149,22,환승,1
20220312,첨단09,조선대병원,1150,07,승차,1
20220312,첨단09,조선대병원,1150,08,하차,1
20220312,첨단09,조선대병원,1150,09,승차,1
20220312,첨단09,조선대병원,1150,09,하차,1
20220312,첨단09,조선대병원,1150,09,환승,1
20220312,첨단09,조선대병원,1150,10,승차,1
20220312,첨단09,조선대병원,1150,11,하차,1
20220312,첨단09,조선대병원,1150,14,하차,1
20220312,첨단09,조선대병원,1150,14,환승,2
20220312,첨단09,조선대병원,1150,15,승차,2
20220312,첨단09,조선대병원,1150,15,하차,3
20220312,첨단09,조선대병원,1150,16,하차,2
20220312,첨단09,조선대병원,1150,17,승차,2
20220312,첨단09,조선대병원,1150,18,하차,2
20220312,첨단09,조선대병원,1150,18,환승,2
20220312,첨단09,조선대병원,1150,19,하차,2
20220312,첨단09,조선대병원,1150,20,승차,5
20220312,첨단09,조선대병원,1150,20,하차,1
20220312,첨단09,조선대병원,1150,20,환승,2
20220312,첨단09,첨단2동행정복지센터,5445,06,승차,1
20220312,첨단09,첨단2동행정복지센터,5445,07,승차,7
20220312,첨단09,첨단2동행정복지센터,5445,07,하차,1
20220312,첨단09,첨단2동행정복지센터,5445,07,환승,1
20220312,첨단09,첨단2동행정복지센터,5445,08,승차,10
20220312,첨단09,첨단2동행정복지센터,5445,08,환승,5
20220312,첨단09,첨단2동행정복지센터,5445,09,승차,12
20220312,첨단09,첨단2동행정복지센터,5445,09,하차,1
20220312,첨단09,첨단2동행정복지센터,5445,09,환승,1
20220312,첨단09,첨단2동행정복지센터,5445,10,승차,18
20220312,첨단09,첨단2동행정복지센터,5445,11,승차,15
20220312,첨단09,첨단2동행정복지센터,5445,11,하차,3
20220312,첨단09,첨단2동행정복지센터,5445,11,환승,1
20220312,첨단09,첨단2동행정복지센터,5445,12,승차,24
20220312,첨단09,첨단2동행정복지센터,5445,12,하차,4
20220312,첨단09,첨단2동행정복지센터,5445,12,환승,1
20220312,첨단09,첨단2동행정복지센터,5445,13,승차,9
20220312,첨단09,첨단2동행정복지센터,5445,13,하차,1
20220312,첨단09,첨단2동행정복지센터,5445,13,환승,1
20220312,첨단09,첨단2동행정복지센터,5445,14,승차,20
20220312,첨단09,첨단2동행정복지센터,5445,14,하차,3
20220312,첨단09,첨단2동행정복지센터,5445,14,환승,2
20220312,첨단09,첨단2동행정복지센터,5445,15,승차,27
20220312,첨단09,첨단2동행정복지센터,5445,15,하차,2
20220312,첨단09,첨단2동행정복지센터,5445,15,환승,2
20220312,첨단09,첨단2동행정복지센터,5445,16,승차,26
20220312,첨단09,첨단2동행정복지센터,5445,17,승차,25
20220312,첨단09,첨단2동행정복지센터,5445,17,하차,3
20220312,첨단09,첨단2동행정복지센터,5445,17,환승,5
20220312,첨단09,첨단2동행정복지센터,5445,18,승차,24
20220312,첨단09,첨단2동행정복지센터,5445,18,환승,2
20220312,첨단09,첨단2동행정복지센터,5445,19,승차,9
20220312,첨단09,첨단2동행정복지센터,5445,19,환승,1
20220312,첨단09,첨단2동행정복지센터,5445,20,승차,19
20220312,첨단09,첨단2동행정복지센터,5445,20,하차,1
20220312,첨단09,첨단2동행정복지센터,5445,21,승차,6
20220312,첨단09,첨단2동행정복지센터,5445,21,환승,1
20220312,첨단09,첨단2동행정복지센터,5445,22,승차,22
20220312,첨단09,첨단2동행정복지센터,5445,22,환승,1
20220312,첨단09,첨단2동행정복지센터,5446,06,승차,2
20220312,첨단09,첨단2동행정복지센터,5446,06,하차,1
20220312,첨단09,첨단2동행정복지센터,5446,06,환승,2
20220312,첨단09,첨단2동행정복지센터,5446,07,승차,4
20220312,첨단09,첨단2동행정복지센터,5446,07,하차,1
20220312,첨단09,첨단2동행정복지센터,5446,08,승차,4
20220312,첨단09,첨단2동행정복지센터,5446,08,하차,2
20220312,첨단09,첨단2동행정복지센터,5446,09,승차,4
20220312,첨단09,첨단2동행정복지센터,5446,09,하차,3
20220312,첨단09,첨단2동행정복지센터,5446,10,승차,2
20220312,첨단09,첨단2동행정복지센터,5446,10,하차,3
20220312,첨단09,첨단2동행정복지센터,5446,11,승차,6
20220312,첨단09,첨단2동행정복지센터,5446,11,하차,6
20220312,첨단09,첨단2동행정복지센터,5446,12,승차,9
20220312,첨단09,첨단2동행정복지센터,5446,12,하차,4
20220312,첨단09,첨단2동행정복지센터,5446,13,승차,5
20220312,첨단09,첨단2동행정복지센터,5446,13,하차,5
20220312,첨단09,첨단2동행정복지센터,5446,13,환승,4
20220312,첨단09,첨단2동행정복지센터,5446,14,승차,5
20220312,첨단09,첨단2동행정복지센터,5446,14,하차,1
20220312,첨단09,첨단2동행정복지센터,5446,14,환승,2
20220312,첨단09,첨단2동행정복지센터,5446,15,승차,14
20220312,첨단09,첨단2동행정복지센터,5446,15,하차,7
20220312,첨단09,첨단2동행정복지센터,5446,15,환승,1
20220312,첨단09,첨단2동행정복지센터,5446,16,승차,8
20220312,첨단09,첨단2동행정복지센터,5446,16,하차,5
20220312,첨단09,첨단2동행정복지센터,5446,17,승차,8
20220312,첨단09,첨단2동행정복지센터,5446,17,하차,9
20220312,첨단09,첨단2동행정복지센터,5446,18,승차,7
20220312,첨단09,첨단2동행정복지센터,5446,18,하차,12
20220312,첨단09,첨단2동행정복지센터,5446,18,환승,1
20220312,첨단09,첨단2동행정복지센터,5446,19,승차,7
20220312,첨단09,첨단2동행정복지센터,5446,19,하차,9
20220312,첨단09,첨단2동행정복지센터,5446,20,승차,8
20220312,첨단09,첨단2동행정복지센터,5446,20,하차,4
20220312,첨단09,첨단2동행정복지센터,5446,21,승차,6
20220312,첨단09,첨단2동행정복지센터,5446,21,하차,3
20220312,첨단09,첨단2동행정복지센터,5446,22,승차,10
20220312,첨단09,첨단2동행정복지센터,5446,22,하차,1
20220312,첨단09,첨단2동행정복지센터,5446,23,승차,1
20220312,첨단09,첨단라인아파트,5417,06,하차,1
20220312,첨단09,첨단라인아파트,5417,07,하차,1
20220312,첨단09,첨단라인아파트,5417,07,환승,1
20220312,첨단09,첨단라인아파트,5417,08,하차,1
20220312,첨단09,첨단라인아파트,5417,09,하차,2
20220312,첨단09,첨단라인아파트,5417,10,승차,1
20220312,첨단09,첨단라인아파트,5417,10,하차,2
20220312,첨단09,첨단라인아파트,5417,11,승차,1
20220312,첨단09,첨단라인아파트,5417,11,하차,5
20220312,첨단09,첨단라인아파트,5417,12,하차,2
20220312,첨단09,첨단라인아파트,5417,13,하차,3
20220312,첨단09,첨단라인아파트,5417,14,하차,3
20220312,첨단09,첨단라인아파트,5417,14,환승,1
20220312,첨단09,첨단라인아파트,5417,15,하차,3
20220312,첨단09,첨단라인아파트,5417,16,하차,2
20220312,첨단09,첨단라인아파트,5417,17,하차,2
20220312,첨단09,첨단라인아파트,5417,18,하차,4
20220312,첨단09,첨단라인아파트,5417,19,하차,6
20220312,첨단09,첨단라인아파트,5417,20,하차,1
20220312,첨단09,첨단라인아파트,5417,21,하차,3
20220312,첨단09,첨단라인아파트,5417,22,하차,3
20220312,첨단09,첨단라인아파트,5417,22,환승,1
20220312,첨단09,첨단라인아파트,5449,06,승차,5
20220312,첨단09,첨단라인아파트,5449,06,환승,1
20220312,첨단09,첨단라인아파트,5449,07,승차,3
20220312,첨단09,첨단라인아파트,5449,07,환승,1
20220312,첨단09,첨단라인아파트,5449,08,승차,6
20220312,첨단09,첨단라인아파트,5449,08,환승,1
20220312,첨단09,첨단라인아파트,5449,09,승차,9
20220312,첨단09,첨단라인아파트,5449,09,환승,1
20220312,첨단09,첨단라인아파트,5449,10,승차,12
20220312,첨단09,첨단라인아파트,5449,10,하차,1
20220312,첨단09,첨단라인아파트,5449,10,환승,3
20220312,첨단09,첨단라인아파트,5449,11,승차,12
20220312,첨단09,첨단라인아파트,5449,11,하차,2
20220312,첨단09,첨단라인아파트,5449,12,승차,12
20220312,첨단09,첨단라인아파트,5449,13,승차,4
20220312,첨단09,첨단라인아파트,5449,13,환승,4
20220312,첨단09,첨단라인아파트,5449,14,승차,10
20220312,첨단09,첨단라인아파트,5449,14,하차,1
20220312,첨단09,첨단라인아파트,5449,14,환승,3
20220312,첨단09,첨단라인아파트,5449,15,승차,10
20220312,첨단09,첨단라인아파트,5449,15,환승,2
20220312,첨단09,첨단라인아파트,5449,16,승차,5
20220312,첨단09,첨단라인아파트,5449,16,하차,3
20220312,첨단09,첨단라인아파트,5449,16,환승,1
20220312,첨단09,첨단라인아파트,5449,17,승차,6
20220312,첨단09,첨단라인아파트,5449,17,하차,1
20220312,첨단09,첨단라인아파트,5449,17,환승,3
20220312,첨단09,첨단라인아파트,5449,18,승차,4
20220312,첨단09,첨단라인아파트,5449,18,하차,4
20220312,첨단09,첨단라인아파트,5449,18,환승,1
20220312,첨단09,첨단라인아파트,5449,19,승차,3
20220312,첨단09,첨단라인아파트,5449,19,환승,1
20220312,첨단09,첨단라인아파트,5449,20,승차,4
20220312,첨단09,첨단라인아파트,5449,20,환승,1
20220312,첨단09,첨단라인아파트,5449,21,승차,2
20220312,첨단09,첨단라인아파트,5449,21,환승,1
20220312,첨단09,첨단라인아파트,5449,22,승차,6
20220312,첨단09,첨단종점,4117,07,하차,1
20220312,첨단09,첨단종점,4117,08,승차,1
20220312,첨단09,첨단종점,4117,09,승차,1
20220312,첨단09,첨단종점,4117,09,환승,1
20220312,첨단09,첨단종점,4117,10,승차,1
20220312,첨단09,첨단종점,4117,10,환승,1
20220312,첨단09,첨단종점,4117,11,승차,5
20220312,첨단09,첨단종점,4117,12,승차,1
20220312,첨단09,첨단종점,4117,13,승차,2
20220312,첨단09,첨단종점,4117,15,환승,1
20220312,첨단09,첨단종점,4117,16,승차,2
20220312,첨단09,첨단종점,4117,17,승차,2
20220312,첨단09,첨단종점,4117,17,환승,1
20220312,첨단09,첨단종점,4117,19,환승,1
20220312,첨단09,첨단종점,4117,21,승차,1
20220312,첨단09,첨단종점,4117,22,환승,1
20220312,첨단09,풍영정입구,5178,05,승차,1
20220312,첨단09,풍영정입구,5178,06,환승,1
20220312,첨단09,풍영정입구,5178,07,승차,2
20220312,첨단09,풍영정입구,5178,07,하차,1
20220312,첨단09,풍영정입구,5178,07,환승,1
20220312,첨단09,풍영정입구,5178,08,승차,1
20220312,첨단09,풍영정입구,5178,08,하차,2
20220312,첨단09,풍영정입구,5178,08,환승,2
20220312,첨단09,풍영정입구,5178,09,승차,2
20220312,첨단09,풍영정입구,5178,09,하차,1
20220312,첨단09,풍영정입구,5178,09,환승,2
20220312,첨단09,풍영정입구,5178,10,승차,1
20220312,첨단09,풍영정입구,5178,10,하차,1
20220312,첨단09,풍영정입구,5178,10,환승,1
20220312,첨단09,풍영정입구,5178,11,승차,1
20220312,첨단09,풍영정입구,5178,11,하차,4
20220312,첨단09,풍영정입구,5178,11,환승,2
20220312,첨단09,풍영정입구,5178,12,승차,2
20220312,첨단09,풍영정입구,5178,12,하차,1
20220312,첨단09,풍영정입구,5178,12,환승,2
20220312,첨단09,풍영정입구,5178,13,승차,1
20220312,첨단09,풍영정입구,5178,13,하차,2
20220312,첨단09,풍영정입구,5178,13,환승,1
20220312,첨단09,풍영정입구,5178,14,승차,1
20220312,첨단09,풍영정입구,5178,14,하차,2
20220312,첨단09,풍영정입구,5178,14,환승,2
20220312,첨단09,풍영정입구,5178,15,승차,1
20220312,첨단09,풍영정입구,5178,15,하차,5
20220312,첨단09,풍영정입구,5178,15,환승,1
20220312,첨단09,풍영정입구,5178,16,승차,1
20220312,첨단09,풍영정입구,5178,16,하차,3
20220312,첨단09,풍영정입구,5178,17,승차,1
20220312,첨단09,풍영정입구,5178,18,승차,1
20220312,첨단09,풍영정입구,5178,18,하차,4
20220312,첨단09,풍영정입구,5178,19,하차,2
20220312,첨단09,풍영정입구,5178,20,하차,1
20220312,첨단09,풍영정입구,5178,22,승차,2
20220312,첨단09,풍영정입구,5178,22,하차,2
20220312,첨단09,풍영정입구,5300,09,환승,2
20220312,첨단09,풍영정입구,5300,11,하차,3
20220312,첨단09,풍영정입구,5300,11,환승,1
20220312,첨단09,풍영정입구,5300,12,환승,1
20220312,첨단09,풍영정입구,5300,13,하차,1
20220312,첨단09,풍영정입구,5300,13,환승,2
20220312,첨단09,풍영정입구,5300,14,하차,1
20220312,첨단09,풍영정입구,5300,15,승차,1
20220312,첨단09,풍영정입구,5300,15,하차,1
20220312,첨단09,풍영정입구,5300,15,환승,2
20220312,첨단09,풍영정입구,5300,16,승차,2
20220312,첨단09,풍영정입구,5300,16,하차,2
20220312,첨단09,풍영정입구,5300,16,환승,1
20220312,첨단09,풍영정입구,5300,17,승차,1
20220312,첨단09,풍영정입구,5300,17,하차,2
20220312,첨단09,풍영정입구,5300,17,환승,2
20220312,첨단09,풍영정입구,5300,18,승차,1
20220312,첨단09,풍영정입구,5300,18,하차,1
20220312,첨단09,풍영정입구,5300,20,하차,1
20220312,첨단09,풍영정입구,5300,20,환승,1
20220312,첨단09,풍영정입구,5300,21,하차,1
20220312,첨단09,풍영정입구,5300,21,환승,2
20220312,첨단09,학2마을아파트,1157,06,승차,1
20220312,첨단09,학2마을아파트,1157,06,환승,2
20220312,첨단09,학2마을아파트,1157,07,승차,1
20220312,첨단09,학2마을아파트,1157,07,하차,2
20220312,첨단09,학2마을아파트,1157,08,승차,4
20220312,첨단09,학2마을아파트,1157,08,하차,1
20220312,첨단09,학2마을아파트,1157,08,환승,15
20220312,첨단09,학2마을아파트,1157,09,승차,12
20220312,첨단09,학2마을아파트,1157,09,하차,2
20220312,첨단09,학2마을아파트,1157,09,환승,14
20220312,첨단09,학2마을아파트,1157,10,승차,2
20220312,첨단09,학2마을아파트,1157,10,하차,1
20220312,첨단09,학2마을아파트,1157,10,환승,2
20220312,첨단09,학2마을아파트,1157,11,승차,8
20220312,첨단09,학2마을아파트,1157,11,하차,2
20220312,첨단09,학2마을아파트,1157,11,환승,4
20220312,첨단09,학2마을아파트,1157,12,승차,6
20220312,첨단09,학2마을아파트,1157,12,하차,2
20220312,첨단09,학2마을아파트,1157,12,환승,10
20220312,첨단09,학2마을아파트,1157,13,승차,1
20220312,첨단09,학2마을아파트,1157,13,하차,2
20220312,첨단09,학2마을아파트,1157,13,환승,6
20220312,첨단09,학2마을아파트,1157,14,승차,3
20220312,첨단09,학2마을아파트,1157,14,환승,3
20220312,첨단09,학2마을아파트,1157,15,환승,2
20220312,첨단09,학2마을아파트,1157,16,승차,3
20220312,첨단09,학2마을아파트,1157,16,하차,1
20220312,첨단09,학2마을아파트,1157,16,환승,1
20220312,첨단09,학2마을아파트,1157,17,승차,1
20220312,첨단09,학2마을아파트,1157,17,환승,2
20220312,첨단09,학2마을아파트,1157,18,하차,3
20220312,첨단09,학2마을아파트,1157,19,승차,1
20220312,첨단09,학2마을아파트,1157,19,하차,2
20220312,첨단09,학2마을아파트,1157,19,환승,2
20220312,첨단09,학2마을아파트,1157,20,환승,3
20220312,첨단09,학2마을아파트,1157,21,하차,1
20220312,첨단09,학2마을아파트,1157,21,환승,1
20220312,첨단09,학2마을아파트,1157,22,하차,2
20220312,첨단09,학2마을아파트,1157,22,환승,2
20220312,첨단09,학2마을아파트,1157,23,승차,1
20220312,첨단09,학2마을아파트,1157,23,환승,2
20220312,첨단09,학동무등파크,1163,05,승차,7
20220312,첨단09,학동무등파크,1163,06,승차,2
20220312,첨단09,학동무등파크,1163,07,승차,2
20220312,첨단09,학동무등파크,1163,07,하차,1
20220312,첨단09,학동무등파크,1163,08,승차,6
20220312,첨단09,학동무등파크,1163,08,하차,2
20220312,첨단09,학동무등파크,1163,09,승차,6
20220312,첨단09,학동무등파크,1163,09,하차,1
20220312,첨단09,학동무등파크,1163,10,승차,6
20220312,첨단09,학동무등파크,1163,10,하차,1
20220312,첨단09,학동무등파크,1163,11,승차,18
20220312,첨단09,학동무등파크,1163,12,승차,6
20220312,첨단09,학동무등파크,1163,12,하차,2
20220312,첨단09,학동무등파크,1163,13,승차,8
20220312,첨단09,학동무등파크,1163,13,하차,2
20220312,첨단09,학동무등파크,1163,13,환승,1
20220312,첨단09,학동무등파크,1163,14,승차,11
20220312,첨단09,학동무등파크,1163,15,승차,9
20220312,첨단09,학동무등파크,1163,15,하차,1
20220312,첨단09,학동무등파크,1163,16,승차,8
20220312,첨단09,학동무등파크,1163,16,하차,4
20220312,첨단09,학동무등파크,1163,17,승차,5
20220312,첨단09,학동무등파크,1163,17,하차,3
20220312,첨단09,학동무등파크,1163,18,승차,5
20220312,첨단09,학동무등파크,1163,20,승차,3
20220312,첨단09,학동증심사입구역,1151,05,승차,1
20220312,첨단09,학동증심사입구역,1151,07,승차,1
20220312,첨단09,학동증심사입구역,1151,07,환승,2
20220312,첨단09,학동증심사입구역,1151,08,승차,5
20220312,첨단09,학동증심사입구역,1151,08,하차,3
20220312,첨단09,학동증심사입구역,1151,08,환승,3
20220312,첨단09,학동증심사입구역,1151,09,승차,3
20220312,첨단09,학동증심사입구역,1151,09,환승,2
20220312,첨단09,학동증심사입구역,1151,10,승차,4
20220312,첨단09,학동증심사입구역,1151,10,환승,3
20220312,첨단09,학동증심사입구역,1151,11,승차,3
20220312,첨단09,학동증심사입구역,1151,11,환승,5
20220312,첨단09,학동증심사입구역,1151,12,승차,4
20220312,첨단09,학동증심사입구역,1151,12,환승,1
20220312,첨단09,학동증심사입구역,1151,13,승차,3
20220312,첨단09,학동증심사입구역,1151,13,환승,3
20220312,첨단09,학동증심사입구역,1151,14,승차,3
20220312,첨단09,학동증심사입구역,1151,14,환승,2
20220312,첨단09,학동증심사입구역,1151,15,승차,2
20220312,첨단09,학동증심사입구역,1151,15,하차,2
20220312,첨단09,학동증심사입구역,1151,15,환승,3
20220312,첨단09,학동증심사입구역,1151,16,승차,3
20220312,첨단09,학동증심사입구역,1151,16,하차,4
20220312,첨단09,학동증심사입구역,1151,16,환승,2
20220312,첨단09,학동증심사입구역,1151,17,승차,3
20220312,첨단09,학동증심사입구역,1151,17,하차,3
20220312,첨단09,학동증심사입구역,1151,17,환승,2
20220312,첨단09,학동증심사입구역,1151,18,승차,3
20220312,첨단09,학동증심사입구역,1151,18,하차,1
20220312,첨단09,학동증심사입구역,1151,18,환승,2
20220312,첨단09,학동증심사입구역,1151,19,승차,3
20220312,첨단09,학동증심사입구역,1151,20,승차,2
20220312,첨단09,학동증심사입구역,1151,20,환승,2
20220312,첨단09,학동증심사입구역,1151,21,승차,2
20220312,첨단09,학동증심사입구역,1151,21,하차,1
20220312,첨단09,학동증심사입구역,1151,22,승차,2
20220312,첨단09,학동증심사입구역,1151,22,하차,2
20220312,첨단09,학동증심사입구역,1152,09,하차,1
20220312,첨단09,학동증심사입구역,1152,12,하차,1
20220312,첨단09,학동증심사입구역,1152,14,하차,1
20220312,첨단09,학동증심사입구역,1152,16,하차,1
20220312,첨단09,학동증심사입구역,1152,17,하차,1
20220312,첨단09,학동증심사입구역,1152,18,하차,2
20220312,첨단09,학동증심사입구역,1152,20,하차,2
20220312,첨단09,학동평화맨션,1164,08,승차,1
20220312,첨단09,학동평화맨션,1164,09,승차,3
20220312,첨단09,학동평화맨션,1164,11,하차,1
20220312,첨단09,학동평화맨션,1164,12,승차,2
20220312,첨단09,학동평화맨션,1164,12,환승,1
20220312,첨단09,학동평화맨션,1164,13,승차,2
20220312,첨단09,학동평화맨션,1164,13,하차,1
20220312,첨단09,학동평화맨션,1164,15,승차,2
20220312,첨단09,학동평화맨션,1164,15,하차,2
20220312,첨단09,학동평화맨션,1164,16,승차,4
20220312,첨단09,학동평화맨션,1164,16,환승,1
20220312,첨단09,학동평화맨션,1164,17,하차,1
20220312,첨단09,학동평화맨션,1164,17,환승,1
20220312,첨단09,학동평화맨션,1164,18,하차,2
20220312,첨단09,한국광기술원,4128,07,승차,7
20220312,첨단09,한국광기술원,4128,11,승차,1
20220312,첨단09,한국광기술원,4128,12,승차,3
20220312,첨단09,한국광기술원,4128,13,승차,1
20220312,첨단09,한국광기술원,4128,14,승차,2
20220312,첨단09,한국광기술원,4128,15,승차,2
20220312,첨단09,한국광기술원,4128,16,승차,3
20220312,첨단09,한국광기술원,4128,17,승차,5
20220312,첨단09,한국광기술원,4128,18,승차,2
20220312,첨단09,한국광기술원,4128,22,승차,1
20220312,첨단09,한국광기술원,4129,08,하차,1
20220312,첨단09,한국광기술원,4129,19,하차,1
20220312,첨단09,한국생산기술연구원,4132,07,하차,1
20220312,첨단09,한국생산기술연구원,4132,08,승차,1
20220312,첨단09,한국생산기술연구원,4132,08,환승,1
20220312,첨단09,한국생산기술연구원,4132,09,승차,2
20220312,첨단09,한국생산기술연구원,4132,12,승차,6
20220312,첨단09,한국생산기술연구원,4132,13,승차,5
20220312,첨단09,한국생산기술연구원,4132,14,승차,2
20220312,첨단09,한국생산기술연구원,4132,14,하차,1
20220312,첨단09,한국생산기술연구원,4132,15,승차,3
20220312,첨단09,한국생산기술연구원,4132,16,승차,2
20220312,첨단09,한국생산기술연구원,4132,16,하차,1
20220312,첨단09,한국생산기술연구원,4132,17,승차,2
20220312,첨단09,한국생산기술연구원,4132,17,하차,1
20220312,첨단09,한국생산기술연구원,4132,20,승차,1
20220312,첨단09,한국생산기술연구원,4133,07,환승,1
20220312,첨단09,한국생산기술연구원,4133,12,하차,1
20220312,첨단09,한국생산기술연구원,4133,13,하차,1
20220312,첨단09,한국생산기술연구원,4133,18,환승,1
20220312,첨단09,현대자동차,2008,06,승차,2
20220312,첨단09,현대자동차,2008,06,환승,2
20220312,첨단09,현대자동차,2008,07,하차,2
20220312,첨단09,현대자동차,2008,08,승차,1
20220312,첨단09,현대자동차,2008,08,하차,4
20220312,첨단09,현대자동차,2008,08,환승,1
20220312,첨단09,현대자동차,2008,09,승차,7
20220312,첨단09,현대자동차,2008,09,하차,8
20220312,첨단09,현대자동차,2008,09,환승,2
20220312,첨단09,현대자동차,2008,10,승차,13
20220312,첨단09,현대자동차,2008,10,하차,14
20220312,첨단09,현대자동차,2008,10,환승,9
20220312,첨단09,현대자동차,2008,11,승차,11
20220312,첨단09,현대자동차,2008,11,하차,9
20220312,첨단09,현대자동차,2008,11,환승,1
20220312,첨단09,현대자동차,2008,12,승차,5
20220312,첨단09,현대자동차,2008,12,하차,6
20220312,첨단09,현대자동차,2008,13,승차,19
20220312,첨단09,현대자동차,2008,13,하차,19
20220312,첨단09,현대자동차,2008,13,환승,9
20220312,첨단09,현대자동차,2008,14,승차,12
20220312,첨단09,현대자동차,2008,14,하차,15
20220312,첨단09,현대자동차,2008,14,환승,7
20220312,첨단09,현대자동차,2008,15,승차,14
20220312,첨단09,현대자동차,2008,15,하차,17
20220312,첨단09,현대자동차,2008,15,환승,4
20220312,첨단09,현대자동차,2008,16,승차,14
20220312,첨단09,현대자동차,2008,16,하차,17
20220312,첨단09,현대자동차,2008,17,승차,12
20220312,첨단09,현대자동차,2008,17,하차,16
20220312,첨단09,현대자동차,2008,17,환승,3
20220312,첨단09,현대자동차,2008,18,승차,19
20220312,첨단09,현대자동차,2008,18,하차,22
20220312,첨단09,현대자동차,2008,18,환승,2
20220312,첨단09,현대자동차,2008,19,승차,4
20220312,첨단09,현대자동차,2008,19,하차,10
20220312,첨단09,현대자동차,2008,19,환승,1
20220312,첨단09,현대자동차,2008,20,승차,12
20220312,첨단09,현대자동차,2008,20,하차,9
20220312,첨단09,현대자동차,2008,20,환승,1
20220312,첨단09,현대자동차,2008,21,승차,2
20220312,첨단09,현대자동차,2008,21,하차,3
20220312,첨단09,현대자동차,2008,22,승차,8
20220312,첨단09,현대자동차,2008,22,하차,10
20220312,첨단09,현대자동차,2008,22,환승,2
20220312,첨단09,현대자동차,2051,05,승차,1
20220312,첨단09,현대자동차,2051,06,승차,1
20220312,첨단09,현대자동차,2051,07,승차,3
20220312,첨단09,현대자동차,2051,07,하차,1
20220312,첨단09,현대자동차,2051,08,승차,14
20220312,첨단09,현대자동차,2051,08,하차,3
20220312,첨단09,현대자동차,2051,09,승차,3
20220312,첨단09,현대자동차,2051,09,하차,2
20220312,첨단09,현대자동차,2051,10,승차,11
20220312,첨단09,현대자동차,2051,10,하차,3
20220312,첨단09,현대자동차,2051,11,승차,12
20220312,첨단09,현대자동차,2051,11,하차,1
20220312,첨단09,현대자동차,2051,12,승차,16
20220312,첨단09,현대자동차,2051,12,환승,3
20220312,첨단09,현대자동차,2051,13,승차,14
20220312,첨단09,현대자동차,2051,13,하차,1
20220312,첨단09,현대자동차,2051,14,승차,13
20220312,첨단09,현대자동차,2051,14,하차,2
20220312,첨단09,현대자동차,2051,15,승차,13
20220312,첨단09,현대자동차,2051,15,하차,1
20220312,첨단09,현대자동차,2051,16,승차,7
20220312,첨단09,현대자동차,2051,16,하차,1
20220312,첨단09,현대자동차,2051,17,승차,4
20220312,첨단09,현대자동차,2051,17,하차,1
20220312,첨단09,현대자동차,2051,18,승차,5
20220312,첨단09,현대자동차,2051,18,환승,1
20220312,첨단09,현대자동차,2051,19,승차,4
20220312,첨단09,현대자동차,2051,19,하차,1
20220312,첨단09,현대자동차,2051,20,승차,5
20220312,첨단09,현대자동차,2051,20,하차,1
20220312,첨단09,홍림교,1167,05,승차,3
20220312,첨단09,홍림교,1167,07,승차,1
20220312,첨단09,홍림교,1167,07,환승,1
20220312,첨단09,홍림교,1167,08,승차,4
20220312,첨단09,홍림교,1167,09,승차,10
20220312,첨단09,홍림교,1167,10,승차,4
20220312,첨단09,홍림교,1167,10,환승,1
20220312,첨단09,홍림교,1167,11,승차,2
20220312,첨단09,홍림교,1167,11,하차,1
20220312,첨단09,홍림교,1167,12,승차,3
20220312,첨단09,홍림교,1167,13,승차,6
20220312,첨단09,홍림교,1167,14,승차,3
20220312,첨단09,홍림교,1167,15,승차,1
20220312,첨단09,홍림교,1167,15,하차,3
20220312,첨단09,홍림교,1167,16,승차,3
20220312,첨단09,홍림교,1167,16,하차,2
20220312,첨단09,홍림교,1167,17,승차,1
20220312,첨단09,홍림교,1167,17,하차,1
20220312,첨단09,홍림교,1167,18,승차,2
20220312,첨단09,홍림교,1167,19,승차,1
20220312,첨단09,홍림교,1167,20,승차,2
20220312,첨단09,홍림교,1167,20,하차,1
20220312,첨단09,홍림교,1167,21,승차,1
20220312,첨단09,홍림교,1168,08,승차,1
20220312,첨단09,홍림교,1168,12,하차,1
20220312,첨단09,홍림교,1168,13,하차,2
20220312,첨단09,홍림교,1168,16,환승,1
20220312,첨단09,홍림교,1168,22,하차,1
20220312,첨단09,,,07,승차,1
20220312,첨단09,,,08,승차,5
20220312,첨단09,,,08,환승,1
20220312,첨단09,,,09,승차,4
20220312,첨단09,,,09,환승,1
20220312,첨단09,,,10,승차,10
20220312,첨단09,,,10,환승,1
20220312,첨단09,,,11,승차,23
20220312,첨단09,,,12,승차,21
20220312,첨단09,,,12,환승,3
20220312,첨단09,,,13,승차,35
20220312,첨단09,,,14,승차,59
20220312,첨단09,,,15,승차,54
20220312,첨단09,,,15,환승,1
20220312,첨단09,,,16,승차,35
20220312,첨단09,,,16,환승,1
20220312,첨단09,,,17,승차,46
20220312,첨단09,,,17,환승,2
20220312,첨단09,,,18,승차,17
20220312,첨단09,,,19,승차,7
20220312,첨단09,,,20,승차,2
20220312,첨단09,,,21,승차,2
20220312,첨단09,,,22,승차,1
20220312,첨단192,공구의거리,4444,18,환승,1
20220312,첨단192,공구의거리,4445,10,하차,1
20220312,첨단192,광암교입구,4438,18,하차,1
20220312,첨단192,남면보건지소,6196,07,승차,1
20220312,첨단192,남부대,5427,11,승차,1
